,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,ns-3.csv,novembre.csv,emeraldemu.csv,open-beos.csv,maya-work-in-progress.csv,cornerstone.csv,unimrcp.csv,planeshift.csv,grafx2.csv,sbml.csv,kindb.csv,ardour.csv,netatalk.csv
ardour.csv,0.69,0.65,0.67,0.25,0.44,0.36,0.4,0.69,0.51,0.5,0.67,0.41,0.69,0.72,0.64,0.62,0.67,0.71
cornerstone.csv,0.48,0.26,0.12,0.25,0.22,0.2,0.0,0.2,0.01,0.0,0.71,0.56,0.2,0.35,0.05,0.59,0.38,0.43
emeraldemu.csv,0.87,0.58,0.82,1.0,0.16,0.16,0.4,0.69,0.34,0.69,0.65,0.07,0.27,0.02,0.5,0.09,0.6,0.07
grafx2.csv,0.91,0.77,0.76,0.83,0.36,0.39,0.53,0.74,0.49,0.69,0.67,0.81,0.67,0.74,0.91,0.79,0.73,0.79
jahshakafx.csv,0.86,0.69,0.82,0.5,0.32,0.26,0.47,0.82,0.57,0.44,0.63,0.41,0.65,0.65,0.67,0.68,0.66,0.79
kindb.csv,0.87,0.62,0.94,0.71,0.44,0.41,0.87,0.76,0.68,0.53,0.73,0.07,0.78,0.3,0.64,0.88,0.74,0.07
maya-work-in-progress.csv,0.94,0.74,0.82,0.5,0.92,0.71,0.8,0.86,0.86,0.81,0.96,1.0,0.91,0.98,0.76,0.94,0.85,1.0
netatalk.csv,0.54,0.88,0.82,0.92,0.28,0.49,0.73,0.66,0.71,0.78,0.53,0.41,0.46,0.65,0.76,0.65,0.73,0.71
novembre.csv,0.43,0.49,0.55,0.29,0.08,0.28,0.73,0.49,0.71,0.56,0.43,0.44,0.14,0.21,0.66,0.56,0.47,0.36
ns-3.csv,0.51,0.59,0.42,0.67,0.32,0.71,0.93,0.4,0.51,0.66,0.49,1.0,0.71,0.81,0.59,0.94,0.91,1.0
nullc.csv,0.79,1.0,1.0,1.0,0.66,0.46,0.73,0.69,0.45,0.25,0.76,0.37,0.68,0.47,0.67,0.53,0.89,0.36
open-beos.csv,0.86,0.81,0.76,0.79,0.46,0.45,0.8,0.8,0.62,0.5,0.35,0.96,0.61,0.93,0.72,1.0,0.75,1.0
planeshift.csv,0.98,0.97,0.94,0.96,0.78,0.66,0.73,0.86,0.83,0.97,0.76,0.93,0.71,0.72,0.82,0.88,0.94,1.0
plee-the-bear.csv,0.82,0.44,0.79,0.04,0.52,0.52,0.53,0.59,0.68,0.59,0.71,0.7,0.62,0.63,0.42,0.59,0.57,0.64
reaper-ecad.csv,0.55,0.62,0.73,0.67,0.32,0.12,0.27,0.39,0.22,0.03,0.2,0.0,0.37,0.28,0.38,0.26,0.55,0.14
sbml.csv,0.83,0.74,0.82,1.0,0.42,0.59,0.87,0.95,0.72,0.88,0.9,0.96,0.8,0.7,0.71,1.0,0.69,0.86
unimrcp.csv,0.9,0.8,0.7,0.96,0.38,0.34,0.73,0.7,0.49,0.75,0.88,0.67,0.67,0.53,0.75,0.79,0.78,0.71
unladen-swallow.csv,0.25,0.44,0.42,0.04,0.12,0.26,0.47,0.39,0.37,0.41,0.29,0.67,0.36,0.44,0.16,0.41,0.56,0.71
