,etics.csv,badtrinity-zero.csv,mcore3d.csv,xbplayer.csv,kvs.csv,lcfizvtop.csv,modellus.csv,boost.csv,gusanos.csv,projecteqemu.csv,modplug.csv,pydev.csv,codepurge.csv,passwordsafe.csv,pixel-commandos.csv,elateportal.csv,sandiaportals.csv,factor.csv,uwom.csv
badtrinity-zero.csv,0.38,0.0,0.46,0.05,0.49,0.46,0.21,0.62,0.03,0.27,0.42,0.29,0.63,0.45,0.6,0.33,0.61,0.3,0.27
boost.csv,0.67,0.61,0.49,0.7,0.33,0.38,0.31,0.01,0.45,0.8,0.33,0.52,0.39,0.33,0.31,0.83,0.78,0.65,0.74
codepurge.csv,0.19,0.12,0.09,0.31,0.08,0.17,0.05,0.09,0.1,0.27,0.29,0.28,0.01,0.06,0.15,0.0,0.06,0.22,0.28
elateportal.csv,0.05,0.37,0.05,0.73,0.01,0.29,0.47,0.19,0.03,0.24,0.46,0.49,0.4,0.22,0.58,0.0,0.61,0.22,0.5
etics.csv,0.0,0.55,0.32,0.38,0.59,0.21,0.42,0.09,0.17,0.53,0.5,0.54,0.26,0.55,0.25,0.5,0.28,0.65,0.47
factor.csv,0.19,0.01,0.02,0.13,0.0,0.0,0.03,0.06,0.17,0.0,0.0,0.07,0.03,0.0,0.0,0.17,0.0,0.04,0.02
gusanos.csv,0.43,0.46,0.46,0.66,0.72,0.52,0.64,0.48,0.0,0.62,0.67,0.59,0.64,0.55,0.69,0.67,0.06,0.57,0.63
kvs.csv,0.31,0.28,0.16,0.66,0.0,0.08,0.21,0.22,0.52,0.29,0.17,0.14,0.09,0.15,0.11,0.17,0.11,0.22,0.18
lcfizvtop.csv,0.05,0.15,0.23,0.32,0.08,0.0,0.08,0.59,0.03,0.11,0.29,0.36,0.19,0.16,0.29,0.5,0.33,0.26,0.25
mcore3d.csv,0.17,0.59,0.07,0.45,0.59,0.58,0.38,0.54,0.38,0.47,0.67,0.75,0.46,0.49,0.62,0.83,0.61,0.87,0.68
modellus.csv,0.19,0.11,0.12,0.51,0.03,0.12,0.0,0.56,0.21,0.09,0.08,0.35,0.43,0.07,0.14,0.0,0.11,0.04,0.27
modplug.csv,0.95,0.83,0.86,0.71,0.72,0.85,0.73,0.51,0.38,0.87,0.04,0.78,0.79,0.75,0.71,0.83,0.56,0.48,0.89
passwordsafe.csv,0.19,0.4,0.32,0.43,0.29,0.31,0.41,0.27,0.55,0.29,0.17,0.46,0.39,0.02,0.29,0.0,0.22,0.22,0.26
pixel-commandos.csv,0.05,0.05,0.02,0.02,0.0,0.04,0.0,0.04,0.0,0.09,0.0,0.03,0.1,0.01,0.0,0.0,0.0,0.0,0.04
projecteqemu.csv,0.07,0.11,0.16,0.2,0.11,0.08,0.07,0.13,0.24,0.0,0.04,0.16,0.1,0.07,0.08,0.0,0.0,0.04,0.06
pydev.csv,0.14,0.1,0.18,0.18,0.18,0.1,0.08,0.09,0.07,0.16,0.29,0.0,0.19,0.14,0.13,0.17,0.06,0.3,0.07
sandiaportals.csv,1.0,0.57,0.81,0.68,0.58,0.58,0.58,0.79,0.97,0.69,0.62,0.36,0.51,0.38,0.59,0.5,0.0,0.48,0.57
uwom.csv,0.45,0.15,0.39,0.3,0.54,0.44,0.66,0.59,0.55,0.29,0.5,0.61,0.41,0.66,0.6,0.0,0.06,0.52,0.0
xbplayer.csv,0.02,0.09,0.11,0.01,0.17,0.1,0.16,0.05,0.1,0.13,0.08,0.13,0.1,0.08,0.15,0.0,0.0,0.09,0.13
