,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,megameknet.csv,hannosset.csv,v8.csv,ngl.csv,qmmp.csv,qedo.csv
encog-java.csv,0.89,0.04,0.6,0.06,0.14,0.0,0.09,0.03,0.0,0.0
h2database.csv,0.16,0.91,0.06,0.19,0.16,0.33,0.35,0.44,0.24,0.73
hannosset.csv,0.0,0.11,0.03,0.02,0.04,1.0,0.04,0.03,0.02,0.0
jaql.csv,0.57,0.55,0.54,0.96,0.64,0.5,0.4,0.62,0.35,0.05
megameknet.csv,0.7,0.45,0.4,0.32,0.93,0.17,0.36,0.39,0.35,0.36
ngl.csv,0.52,0.64,0.43,0.43,0.62,0.83,0.47,0.98,0.54,0.45
qedo.csv,0.11,0.06,0.06,0.06,0.09,0.0,0.07,0.14,0.21,1.0
qmmp.csv,0.95,0.89,0.51,0.67,0.93,0.83,0.58,0.72,0.92,0.55
raven-monitoring.csv,0.14,0.17,0.94,0.24,0.14,0.33,0.23,0.18,0.02,0.09
v8.csv,0.98,0.92,0.97,0.98,0.97,1.0,1.0,0.97,0.92,0.91
