,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,megameknet.csv,hannosset.csv,v8.csv,ngl.csv,qmmp.csv,qedo.csv
encog-java.csv,0.94,0.06,0.49,0.12,0.17,0.0,0.17,0.06,0.0,0.0
h2database.csv,0.17,0.95,0.08,0.29,0.25,0.12,0.5,0.5,0.26,0.37
hannosset.csv,0.0,0.17,0.05,0.04,0.08,1.0,0.08,0.05,0.03,0.0
jaql.csv,0.33,0.26,0.51,0.98,0.41,0.14,0.56,0.59,0.35,0.02
megameknet.csv,0.31,0.26,0.45,0.42,0.94,0.06,0.52,0.46,0.44,0.11
ngl.csv,0.24,0.34,0.46,0.41,0.51,0.24,0.63,0.99,0.56,0.12
qedo.csv,0.16,0.05,0.1,0.1,0.13,0.0,0.13,0.23,0.3,1.0
qmmp.csv,0.25,0.25,0.45,0.56,0.4,0.18,0.72,0.64,0.95,0.11
raven-monitoring.csv,0.08,0.1,0.97,0.3,0.2,0.13,0.37,0.25,0.02,0.09
v8.csv,0.21,0.22,0.56,0.56,0.36,0.18,1.0,0.69,0.63,0.14
