,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,megameknet.csv,hannosset.csv,v8.csv,ngl.csv,qmmp.csv,qedo.csv
encog-java.csv,1.0,0.11,0.41,0.86,0.2,0.0,1.0,0.75,0.0,0.0
h2database.csv,0.18,1.0,0.15,0.58,0.61,0.07,0.92,0.56,0.29,0.25
hannosset.csv,0.0,0.38,0.5,0.12,0.43,1.0,1.0,0.38,1.0,0.0
jaql.csv,0.23,0.17,0.48,1.0,0.3,0.08,0.95,0.57,0.35,0.01
megameknet.csv,0.19,0.18,0.52,0.62,0.96,0.04,0.95,0.56,0.58,0.07
ngl.csv,0.15,0.23,0.5,0.4,0.43,0.14,0.94,0.99,0.58,0.07
qedo.csv,0.25,0.05,0.33,0.23,0.29,0.0,0.93,0.65,0.54,1.0
qmmp.csv,0.14,0.14,0.4,0.47,0.26,0.1,0.94,0.57,0.98,0.06
raven-monitoring.csv,0.06,0.07,1.0,0.38,0.3,0.08,0.91,0.39,0.06,0.09
v8.csv,0.12,0.13,0.4,0.39,0.22,0.1,1.0,0.54,0.48,0.08
