,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,megameknet.csv,hannosset.csv,v8.csv,ngl.csv,qmmp.csv,qedo.csv
encog-java.csv,0.97,0.95,0.59,0.86,0.98,0.0,0.95,0.88,0.0,0.89
h2database.csv,0.97,0.98,0.92,0.97,0.94,0.68,0.79,0.76,0.79,0.94
hannosset.csv,0.94,0.94,0.5,0.94,0.86,0.83,0.88,0.92,0.0,0.8
jaql.csv,0.61,0.52,0.55,0.58,0.55,0.47,0.58,0.57,0.69,0.49
megameknet.csv,0.5,0.57,0.52,0.77,0.72,0.67,0.58,0.78,0.71,0.4
ngl.csv,0.49,0.59,0.57,0.55,0.52,0.53,0.51,0.56,0.58,0.43
qedo.csv,0.95,0.98,0.83,0.96,0.95,0.5,0.93,0.98,0.96,0.95
qmmp.csv,0.41,0.36,0.44,0.43,0.5,0.39,0.48,0.47,0.53,0.45
raven-monitoring.csv,0.99,0.84,0.64,0.87,0.97,0.75,0.94,0.99,0.94,0.95
v8.csv,0.4,0.37,0.36,0.35,0.47,0.46,0.44,0.46,0.42,0.47
