,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,megameknet.csv,hannosset.csv,v8.csv,ngl.csv,qmmp.csv,qedo.csv
encog-java.csv,0.0,0.05,0.58,0.01,0.16,0.0,0.0,0.01,0.0,0.04
h2database.csv,0.1,0.0,0.21,0.09,0.03,0.38,0.46,0.41,0.6,0.21
hannosset.csv,0.05,0.03,0.02,0.1,0.02,0.0,0.0,0.05,0.0,0.02
jaql.csv,0.25,0.38,0.4,0.0,0.42,0.48,0.31,0.54,0.65,0.44
megameknet.csv,0.39,0.3,0.25,0.12,0.01,0.38,0.31,0.35,0.26,0.47
ngl.csv,0.38,0.31,0.29,0.41,0.24,0.45,0.46,0.01,0.4,0.55
qedo.csv,0.05,0.16,0.08,0.14,0.06,0.03,0.08,0.09,0.18,0.0
qmmp.csv,0.76,0.77,0.52,0.48,0.78,0.64,0.62,0.63,0.02,0.75
raven-monitoring.csv,0.28,0.33,0.0,0.25,0.1,0.32,0.38,0.33,0.27,0.08
v8.csv,0.95,0.92,1.0,0.99,0.99,0.8,0.0,0.98,1.0,0.98
