,migen.csv,acegisecurity.csv,openxava.csv,motu.csv,irrlicht.csv,truevision.csv,zoolib.csv,emite.csv
acegisecurity.csv,0.51,0.93,0.58,0.57,0.21,0.43,0.4,0.22
emite.csv,0.59,0.62,0.75,0.71,0.59,0.67,0.69,0.95
irrlicht.csv,0.53,0.42,0.57,0.64,0.99,0.5,0.4,0.16
migen.csv,0.97,0.57,0.57,0.71,0.25,0.19,0.4,0.16
motu.csv,0.3,0.26,0.58,1.0,0.45,0.57,0.33,0.23
openxava.csv,0.25,0.56,0.95,0.26,0.16,0.06,0.04,0.39
truevision.csv,0.6,0.63,0.73,0.65,0.33,0.98,0.33,0.54
zoolib.csv,0.07,0.1,0.07,0.1,0.11,0.06,0.89,0.0
