,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,jguard.csv,wishmaster.csv,st-filteredstatistics.csv,m-a-d-n-e-s-s.csv,yarp.csv
bloodycore.csv,0.19,0.15,0.45,0.24,0.15,0.11,0.13,0.23,0.05,0.0
flylegacy.csv,0.67,0.55,0.23,0.33,0.32,0.66,0.9,0.31,0.78,0.34
jguard.csv,0.79,0.7,0.41,0.77,0.66,0.3,0.69,0.54,0.93,0.63
m-a-d-n-e-s-s.csv,0.09,0.0,0.05,0.1,0.0,0.02,0.0,0.0,0.22,0.11
mob-sen-plat.csv,0.74,0.25,0.82,0.35,0.46,0.7,0.44,0.38,0.4,0.47
raygina.csv,0.28,0.05,0.5,0.58,0.22,0.36,0.26,0.15,0.22,0.47
st-filteredstatistics.csv,0.88,0.1,0.91,0.76,0.54,0.39,0.9,0.23,0.72,0.66
upp-mirror.csv,0.49,0.1,0.68,0.44,0.32,0.36,0.3,0.31,0.43,0.24
wishmaster.csv,0.19,0.2,0.5,0.37,0.41,0.57,0.21,0.15,0.23,0.37
yarp.csv,0.12,0.0,0.27,0.11,0.07,0.46,0.2,0.08,0.08,0.29
