,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,jguard.csv,wishmaster.csv,st-filteredstatistics.csv,m-a-d-n-e-s-s.csv,yarp.csv
bloodycore.csv,0.31,0.15,0.48,0.43,0.25,0.15,0.0,0.09,0.19,0.08
flylegacy.csv,0.56,0.65,0.76,0.26,0.44,0.46,0.32,0.66,0.48,0.45
jguard.csv,0.49,0.41,0.56,0.25,0.62,0.53,0.25,0.79,0.44,0.44
m-a-d-n-e-s-s.csv,0.29,0.0,0.42,0.27,0.03,0.0,0.0,0.19,0.62,0.19
mob-sen-plat.csv,0.54,0.77,0.8,0.23,0.67,0.45,0.33,0.67,0.56,0.52
raygina.csv,0.7,0.0,0.6,0.19,0.34,0.31,0.24,0.42,0.31,0.46
st-filteredstatistics.csv,0.57,0.44,0.81,0.27,0.69,0.47,0.32,0.86,0.51,0.57
upp-mirror.csv,0.36,0.11,0.78,0.33,0.73,0.44,0.17,0.44,0.45,0.38
wishmaster.csv,0.31,0.2,0.58,0.24,0.68,0.39,0.5,0.18,0.5,0.34
yarp.csv,0.29,0.0,0.48,0.2,0.03,0.25,0.38,0.18,0.38,0.62
