,superwaba.csv,fritzing.csv,lmms.csv,ifmo-game-1.csv,empserver.csv,repositorium.csv,pgui.csv,jparsec.csv,lufa-lib.csv,doomlegacy.csv,xapian.csv,pi-qmc.csv,cortex-vfx.csv,zemljanka.csv
cortex-vfx.csv,0.49,0.56,0.69,0.56,0.82,0.85,0.48,0.81,0.76,0.56,0.59,0.5,0.52,0.86
doomlegacy.csv,0.85,0.7,0.66,0.7,0.85,0.93,0.55,0.84,0.75,0.5,0.46,1.0,0.74,0.84
empserver.csv,0.52,0.92,0.71,0.6,0.47,0.77,0.4,0.93,0.59,0.78,0.36,0.51,0.74,0.77
fritzing.csv,0.42,0.42,0.57,0.78,0.9,0.73,0.54,0.89,0.64,0.81,0.51,0.82,0.63,0.88
ifmo-game-1.csv,0.85,0.97,0.92,0.35,0.8,1.0,0.94,0.91,0.91,0.95,1.0,1.0,0.93,0.93
jparsec.csv,0.98,0.87,0.82,0.88,1.0,0.82,0.99,0.41,0.95,0.85,0.71,0.81,0.72,1.01
lmms.csv,0.55,0.57,0.55,0.78,0.78,0.51,0.89,0.64,0.83,0.57,0.43,0.4,0.56,0.51
lufa-lib.csv,0.69,0.52,0.58,1.04,0.89,0.69,0.61,0.91,0.44,0.7,0.8,0.79,0.71,0.91
pgui.csv,0.69,0.99,0.93,1.0,0.71,1.0,0.45,0.97,1.0,0.99,0.78,1.0,0.78,1.0
pi-qmc.csv,0.79,0.83,0.75,0.74,0.89,0.55,0.86,0.5,0.87,0.71,0.68,0.24,0.73,0.79
repositorium.csv,0.94,0.94,0.79,0.88,0.86,0.43,1.0,0.8,0.88,0.77,0.83,0.73,0.97,0.57
superwaba.csv,0.4,0.49,0.6,0.58,0.69,0.69,0.51,0.68,0.75,0.58,0.63,0.56,0.61,0.73
xapian.csv,0.99,0.96,0.83,0.77,0.54,0.74,0.61,0.77,0.84,0.8,0.36,0.83,1.0,0.83
zemljanka.csv,0.87,0.85,0.9,0.65,1.0,0.86,0.85,0.99,0.96,0.79,0.96,0.91,0.89,0.18
