,superwaba.csv,fritzing.csv,lmms.csv,ifmo-game-1.csv,empserver.csv,repositorium.csv,pgui.csv,jparsec.csv,lufa-lib.csv,doomlegacy.csv,xapian.csv,pi-qmc.csv,cortex-vfx.csv,zemljanka.csv
cortex-vfx.csv,7.0,1.0,1.0,8.0,0.0,8.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,1.0
doomlegacy.csv,15.0,1.0,0.0,4.0,0.0,20.0,0.0,3.0,0.0,0.0,3.0,7.0,11.0,0.0
empserver.csv,11.0,1.0,0.0,10.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,12.0,11.0,1.0
fritzing.csv,2.0,1.0,0.0,18.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0
ifmo-game-1.csv,15.0,1.0,0.0,1.0,0.0,96.0,2.0,0.0,5.0,0.0,113.0,77.0,18.0,0.0
jparsec.csv,16.0,3.0,0.0,5.0,1.0,3.0,3.0,0.0,11.0,1.0,2.0,10.0,12.0,0.0
lmms.csv,6.0,1.0,3.0,1.0,1.0,3.0,2.0,1.0,6.0,0.0,1.0,5.0,7.0,0.0
lufa-lib.csv,4.0,1.0,0.0,26.0,0.0,12.0,1.0,2.0,3.0,0.0,1.0,3.0,0.0,0.0
pgui.csv,12.0,1.0,1.0,5.0,0.0,96.0,1.0,3.0,11.0,0.0,0.0,7.0,1.0,210.0
pi-qmc.csv,0.0,2.0,1.0,27.0,1.0,4.0,1.0,4.0,7.0,2.0,0.0,0.0,6.0,0.0
repositorium.csv,14.0,0.0,0.0,2.0,4.0,2.0,168.0,3.0,4.0,1.0,1.0,8.0,36.0,0.0
superwaba.csv,0.0,0.0,0.0,5.0,0.0,7.0,2.0,1.0,0.0,0.0,1.0,2.0,3.0,0.0
xapian.csv,16.0,1.0,0.0,5.0,1.0,2.0,2.0,3.0,10.0,0.0,1.0,3.0,12.0,0.0
zemljanka.csv,26.0,1.0,2.0,2.0,2.0,23.0,1.0,3.0,11.0,1.0,1.0,6.0,11.0,0.0
