,superwaba.csv,fritzing.csv,lmms.csv,ifmo-game-1.csv,empserver.csv,repositorium.csv,pgui.csv,jparsec.csv,lufa-lib.csv,doomlegacy.csv,xapian.csv,pi-qmc.csv,cortex-vfx.csv,zemljanka.csv
cortex-vfx.csv,0.54,0.46,0.55,0.56,0.92,0.81,0.51,0.88,0.75,0.51,0.82,0.58,0.66,0.94
doomlegacy.csv,0.45,0.42,0.42,0.46,0.91,0.41,0.67,0.48,0.54,0.35,0.53,0.41,0.42,0.97
empserver.csv,0.56,0.43,0.45,0.41,0.55,0.39,0.49,0.41,0.73,0.33,0.5,0.5,0.43,0.54
fritzing.csv,0.49,0.46,0.49,0.63,0.88,0.89,0.48,0.38,0.62,0.95,0.55,0.89,0.74,0.97
ifmo-game-1.csv,0.49,0.75,0.93,0.8,0.54,0.5,0.41,0.75,0.73,0.75,0.0,0.75,0.97,0.93
jparsec.csv,0.43,0.97,0.55,0.48,0.41,0.51,0.4,0.51,0.53,0.59,0.65,0.89,0.74,0.46
lmms.csv,0.38,0.46,0.43,0.43,0.38,0.38,0.38,0.57,0.52,0.34,0.47,0.47,0.58,0.37
lufa-lib.csv,0.96,0.56,0.58,0.59,0.83,0.85,0.61,0.41,0.71,0.65,0.48,0.62,0.96,0.86
pgui.csv,0.51,0.43,0.9,0.44,0.51,0.0,0.63,0.41,0.52,0.0,0.51,0.41,0.92,0.0
pi-qmc.csv,0.96,0.94,0.44,0.46,0.39,0.41,0.38,0.47,0.51,0.34,0.38,0.5,0.65,0.42
repositorium.csv,0.95,0.93,0.74,0.63,0.74,0.74,0.0,0.93,0.99,0.65,0.51,0.64,0.98,0.5
superwaba.csv,0.44,0.41,0.4,0.39,0.33,0.33,0.38,0.42,0.54,0.39,0.67,0.56,0.38,0.45
xapian.csv,0.42,0.44,0.44,0.55,0.68,0.54,0.51,0.65,0.57,0.39,0.69,0.54,0.42,0.55
zemljanka.csv,0.45,0.49,0.43,0.51,0.42,0.42,0.42,0.4,0.53,0.37,0.39,0.47,0.47,0.48
