,superwaba.csv,fritzing.csv,lmms.csv,ifmo-game-1.csv,empserver.csv,repositorium.csv,pgui.csv,jparsec.csv,lufa-lib.csv,doomlegacy.csv,xapian.csv,pi-qmc.csv,cortex-vfx.csv,zemljanka.csv
cortex-vfx.csv,0.3,0.3,0.25,0.36,0.15,0.22,0.36,0.12,0.2,0.23,0.12,0.21,0.23,0.22
doomlegacy.csv,0.84,0.69,0.59,0.7,0.15,0.86,0.14,0.81,0.25,0.42,0.25,1.0,0.73,0.22
empserver.csv,0.35,0.92,0.66,0.53,0.3,0.77,0.3,0.93,0.25,0.77,0.31,0.43,0.72,0.33
fritzing.csv,0.32,0.32,0.22,0.32,0.12,0.07,0.35,0.88,0.16,0.12,0.22,0.09,0.17,0.22
ifmo-game-1.csv,0.8,0.03,0.05,0.19,0.39,0.02,0.94,0.0,0.22,0.0,0.01,0.07,0.12,0.0
jparsec.csv,0.98,0.26,0.73,0.88,1.0,0.73,0.99,0.26,0.95,0.69,0.42,0.25,0.48,1.0
lmms.csv,0.51,0.36,0.47,0.73,0.76,0.48,0.89,0.41,0.82,0.5,0.34,0.36,0.39,0.33
lufa-lib.csv,0.1,0.38,0.36,0.58,0.06,0.26,0.46,0.9,0.33,0.35,0.74,0.61,0.11,0.67
pgui.csv,0.5,0.99,0.01,1.0,0.67,0.0,0.31,0.97,1.0,0.0,0.73,1.0,0.2,0.0
pi-qmc.csv,0.13,0.05,0.7,0.47,0.88,0.48,0.84,0.33,0.86,0.62,0.59,0.2,0.2,0.78
repositorium.csv,0.18,0.13,0.55,0.51,0.42,0.23,0.0,0.09,0.27,0.5,0.69,0.43,0.14,0.22
superwaba.csv,0.21,0.4,0.34,0.51,0.55,0.69,0.4,0.64,0.21,0.31,0.12,0.11,0.58,0.33
xapian.csv,0.99,0.96,0.82,0.75,0.42,0.69,0.59,0.54,0.82,0.77,0.19,0.75,1.0,0.78
zemljanka.csv,0.86,0.83,0.88,0.64,0.97,0.81,0.81,0.99,0.86,0.77,0.95,0.89,0.87,0.0
