,plearn.csv,awemud.csv,tzod.csv,psrchive.csv,liferea.csv,kwave.csv,firebreath.csv,qcad2.csv,customwars.csv,irplus.csv,wxcode.csv,xinity.csv,xmoto.csv,gss.csv
awemud.csv,0.49,0.39,0.39,0.41,0.31,0.52,0.58,0.45,0.33,0.48,0.51,0.63,0.56,0.65
customwars.csv,0.41,0.35,0.46,0.39,0.5,0.44,0.44,0.44,0.47,0.45,0.47,0.27,0.38,0.41
firebreath.csv,0.58,0.46,0.49,0.6,0.36,0.85,0.56,0.46,0.36,0.35,0.93,0.48,0.52,0.47
gss.csv,0.4,0.34,0.32,0.36,0.31,0.37,0.41,0.41,0.31,0.33,0.41,0.29,0.37,0.42
irplus.csv,0.42,0.32,0.4,0.39,0.57,0.38,0.42,0.42,0.42,0.44,0.52,0.27,0.37,0.64
kwave.csv,0.42,0.38,0.38,0.39,0.33,0.74,0.68,0.46,0.33,0.33,0.4,0.3,0.47,0.32
liferea.csv,0.47,0.48,0.5,0.47,0.48,0.44,0.7,0.49,0.74,0.57,0.82,0.38,0.64,0.45
plearn.csv,0.47,0.43,0.52,0.45,0.75,0.91,0.55,0.53,0.47,0.54,0.61,0.38,0.62,0.6
psrchive.csv,0.53,0.45,0.69,0.5,0.39,0.85,0.54,0.49,0.59,0.92,0.55,0.48,0.58,0.64
qcad2.csv,0.72,0.55,0.86,0.5,0.44,0.86,0.73,0.49,0.62,0.39,0.74,0.41,0.52,0.38
tzod.csv,0.45,0.91,0.47,0.43,0.45,0.54,0.51,0.63,0.89,0.57,0.58,0.37,0.59,0.75
wxcode.csv,0.54,0.54,0.86,0.67,0.79,0.86,0.72,0.53,0.89,0.62,0.67,0.36,0.48,0.78
xinity.csv,0.62,0.96,0.49,0.86,0.34,0.96,0.71,0.75,0.74,0.89,0.49,0.4,0.65,0.41
xmoto.csv,0.44,0.41,0.38,0.42,0.31,0.88,0.41,0.47,0.44,0.5,0.44,0.38,0.46,0.83
