,plearn.csv,awemud.csv,tzod.csv,psrchive.csv,liferea.csv,kwave.csv,firebreath.csv,qcad2.csv,customwars.csv,irplus.csv,wxcode.csv,xinity.csv,xmoto.csv,gss.csv
awemud.csv,0.54,0.58,0.58,0.56,0.59,0.74,0.65,0.44,0.85,0.6,0.49,0.72,0.46,0.81
customwars.csv,0.64,0.54,0.54,0.53,0.5,0.84,0.62,0.53,0.57,0.62,0.41,0.89,0.53,0.48
firebreath.csv,0.6,0.56,0.52,0.56,0.75,0.64,0.48,0.58,0.72,0.77,0.45,0.7,0.46,0.57
gss.csv,0.69,0.75,0.76,0.68,0.69,0.72,0.61,0.46,0.93,0.91,0.61,0.92,0.63,0.28
irplus.csv,0.55,0.53,0.59,0.48,0.65,0.75,0.65,0.57,0.46,0.48,0.35,0.84,0.52,0.63
kwave.csv,0.86,0.57,0.8,0.84,1.0,0.44,0.6,0.93,0.84,0.9,0.97,0.85,0.67,0.54
liferea.csv,0.6,0.57,0.57,0.58,0.37,0.77,0.69,0.63,0.79,0.67,0.6,0.69,0.77,0.67
plearn.csv,0.5,0.65,0.67,0.59,0.77,0.95,0.62,0.72,0.79,0.63,0.37,0.75,0.58,0.89
psrchive.csv,0.52,0.67,0.72,0.24,0.78,0.83,0.63,0.53,0.58,0.77,0.33,0.71,0.58,0.74
qcad2.csv,0.72,0.65,0.71,0.66,0.65,0.75,0.6,0.35,0.78,0.87,0.52,0.69,0.54,0.71
tzod.csv,0.56,0.9,0.46,0.62,0.43,0.64,0.69,0.57,0.9,0.58,0.38,0.68,0.54,0.77
wxcode.csv,0.6,0.72,0.74,0.67,0.65,0.94,0.75,0.47,0.72,0.62,0.18,0.76,0.64,0.74
xinity.csv,0.86,0.92,0.91,0.91,1.0,0.63,0.72,0.88,0.76,0.89,1.0,0.37,0.89,0.91
xmoto.csv,0.56,0.61,0.47,0.49,0.96,0.82,0.67,0.49,0.62,0.66,0.63,0.79,0.42,0.83
