,plearn.csv,awemud.csv,tzod.csv,psrchive.csv,liferea.csv,kwave.csv,firebreath.csv,qcad2.csv,customwars.csv,irplus.csv,wxcode.csv,xinity.csv,xmoto.csv,gss.csv
awemud.csv,2.0,2.0,5.0,12.0,4.0,6.0,2.0,3.0,15.0,0.0,24.0,0.0,0.0,0.0
customwars.csv,1.0,2.0,0.0,9.0,0.0,1.0,1.0,0.0,1.0,10.0,0.0,0.0,7.0,3.0
firebreath.csv,10.0,1.0,7.0,2.0,3.0,0.0,0.0,16.0,10.0,2.0,10.0,0.0,1.0,0.0
gss.csv,1.0,0.0,4.0,20.0,7.0,1.0,2.0,2.0,18.0,0.0,33.0,1.0,1.0,0.0
irplus.csv,4.0,0.0,2.0,4.0,2.0,0.0,1.0,2.0,0.0,4.0,8.0,0.0,4.0,0.0
kwave.csv,2.0,1.0,2.0,3.0,6.0,0.0,3.0,11.0,21.0,8.0,2.0,0.0,0.0,0.0
liferea.csv,2.0,1.0,3.0,6.0,0.0,0.0,3.0,6.0,15.0,2.0,12.0,0.0,6.0,0.0
plearn.csv,5.0,1.0,0.0,6.0,0.0,6.0,2.0,6.0,1.0,0.0,0.0,1.0,1.0,2.0
psrchive.csv,12.0,1.0,0.0,0.0,11.0,3.0,5.0,1.0,1.0,4.0,0.0,0.0,1.0,5.0
qcad2.csv,9.0,1.0,1.0,24.0,3.0,0.0,4.0,0.0,13.0,3.0,0.0,1.0,4.0,0.0
tzod.csv,2.0,2.0,4.0,19.0,1.0,2.0,5.0,1.0,14.0,1.0,0.0,0.0,1.0,1.0
wxcode.csv,6.0,3.0,0.0,5.0,1.0,6.0,0.0,0.0,4.0,1.0,0.0,0.0,2.0,1.0
xinity.csv,5.0,2.0,4.0,4.0,6.0,0.0,5.0,12.0,10.0,2.0,3.0,0.0,1.0,0.0
xmoto.csv,2.0,1.0,3.0,8.0,14.0,1.0,2.0,12.0,9.0,8.0,36.0,0.0,1.0,1.0
