,sauerbraten.csv,rezilla.csv,badtrinity-zero.csv,kvs.csv,exordium.csv,webdriver.csv,hydrogen.csv,google-caja.csv,yafdotnet.csv,megameknet.csv,openmsx.csv,ns-3-dev-def-routing.csv,kmess.csv,open-ms.csv
badtrinity-zero.csv,0.71,0.36,0.66,0.29,0.41,0.55,0.35,0.29,0.31,0.5,0.42,0.53,0.73,0.37
exordium.csv,0.75,0.17,0.52,0.24,0.68,0.48,0.54,0.78,0.62,0.53,0.34,0.49,0.5,0.38
google-caja.csv,0.77,0.4,0.62,0.36,0.49,0.67,0.37,0.87,0.61,0.46,0.44,0.58,0.67,0.38
hydrogen.csv,0.76,0.0,0.66,0.34,0.0,0.63,0.57,0.85,0.59,0.37,0.58,0.56,0.77,0.34
kmess.csv,0.22,0.28,0.54,0.31,0.35,0.53,0.39,0.26,0.23,0.17,0.14,0.47,0.72,0.34
kvs.csv,0.0,0.0,0.4,0.62,0.0,0.18,0.0,0.67,0.37,0.35,0.13,0.18,0.23,0.23
megameknet.csv,0.73,0.3,0.55,0.38,0.49,0.61,0.47,0.82,0.49,0.58,0.39,0.56,0.63,0.37
ns-3-dev-def-routing.csv,0.8,0.18,0.45,0.13,0.52,0.49,0.25,0.61,0.52,0.37,0.42,0.59,0.6,0.23
open-ms.csv,0.45,0.25,0.57,0.51,0.35,0.53,0.51,0.66,0.52,0.47,0.22,0.48,0.66,0.4
openmsx.csv,0.22,0.48,0.45,0.31,0.42,0.46,0.21,0.5,0.51,0.33,0.57,0.48,0.63,0.32
rezilla.csv,0.7,0.7,0.62,0.36,0.44,0.49,0.38,0.12,0.48,0.41,0.41,0.5,0.73,0.33
sauerbraten.csv,0.77,0.45,0.61,0.34,0.44,0.66,0.25,0.42,0.56,0.36,0.57,0.54,0.72,0.32
webdriver.csv,0.79,0.26,0.54,0.35,0.59,0.7,0.34,0.45,0.49,0.48,0.43,0.55,0.64,0.39
yafdotnet.csv,0.76,0.26,0.59,0.36,0.47,0.53,0.4,0.83,0.69,0.4,0.46,0.49,0.62,0.34
