,sauerbraten.csv,rezilla.csv,badtrinity-zero.csv,kvs.csv,exordium.csv,webdriver.csv,hydrogen.csv,google-caja.csv,yafdotnet.csv,megameknet.csv,openmsx.csv,ns-3-dev-def-routing.csv,kmess.csv,open-ms.csv
badtrinity-zero.csv,98.5,187.0,99.0,1159.5,951.5,98.5,480.0,96.5,98.5,99.0,94.5,494.0,99.0,99.0
exordium.csv,98.5,187.0,98.5,458.0,90.5,177.0,188.5,99.0,99.0,99.0,97.5,97.5,99.0,99.0
google-caja.csv,98.5,187.0,99.0,93.5,282.5,578.0,385.5,99.0,99.0,99.0,196.0,98.5,99.0,99.0
hydrogen.csv,98.5,0.0,99.0,1258.5,0.0,197.0,288.0,99.0,99.0,99.0,196.0,494.0,99.0,99.0
kmess.csv,89.5,187.0,99.0,1159.5,474.5,98.5,89.5,96.5,98.5,391.5,84.5,494.0,98.5,99.0
kvs.csv,0.0,0.0,630.5,93.5,298.0,368.0,17.0,99.0,95.5,99.0,196.0,1042.5,96.5,99.0
megameknet.csv,98.5,187.0,98.5,189.5,372.0,197.0,385.5,99.0,98.5,99.0,194.0,395.0,99.0,99.0
ns-3-dev-def-routing.csv,98.5,469.0,98.5,448.5,242.5,383.0,476.5,99.0,197.0,99.0,97.5,193.0,95.5,99.0
open-ms.csv,98.5,187.0,99.0,93.5,666.0,382.0,282.5,97.5,98.5,99.0,194.0,98.5,99.0,99.0
openmsx.csv,98.5,187.0,99.0,1258.5,859.0,249.5,771.5,97.5,99.0,98.5,192.0,395.0,99.0,99.0
rezilla.csv,98.5,187.0,99.0,579.0,756.5,381.0,660.0,65.5,97.5,99.0,290.5,395.0,99.0,99.0
sauerbraten.csv,98.5,187.0,99.0,1159.5,858.0,98.5,771.5,89.5,99.0,99.0,288.5,197.5,98.5,99.0
webdriver.csv,98.5,187.0,558.0,93.5,480.0,386.0,484.0,97.5,99.0,99.0,192.0,97.5,99.0,99.0
yafdotnet.csv,98.5,187.0,98.5,1061.0,90.5,382.0,286.5,99.0,99.0,99.0,196.0,395.0,96.5,99.0
