,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,ns-3.csv,novembre.csv,emeraldemu.csv,open-beos.csv,maya-work-in-progress.csv,cornerstone.csv,unimrcp.csv,planeshift.csv,grafx2.csv,sbml.csv,kindb.csv,ardour.csv,netatalk.csv,pixel-commandos.csv,xmoto.csv
ardour.csv,0.6,0.72,0.61,0.43,0.41,0.45,0.55,0.62,0.5,0.23,0.51,0.36,0.58,0.21,0.56,0.66,0.98,0.42,0.75,0.57
cornerstone.csv,0.49,0.62,0.43,0.29,0.34,0.58,0.51,0.55,0.56,0.43,0.98,0.56,0.57,0.5,0.54,0.6,0.57,0.49,0.67,0.48
emeraldemu.csv,0.72,0.55,0.71,0.54,0.28,0.45,0.44,0.94,0.4,0.38,0.51,0.58,0.63,0.55,0.45,0.57,0.62,0.25,0.74,0.57
grafx2.csv,0.58,0.64,0.74,0.42,0.39,0.36,0.55,0.61,0.42,0.46,0.52,0.68,0.51,0.99,0.43,0.65,0.58,0.54,0.52,0.45
jahshakafx.csv,0.98,0.5,0.44,0.25,0.35,0.19,0.38,0.37,0.33,0.29,0.21,0.18,0.28,0.38,0.38,0.4,0.42,0.25,0.29,0.41
kindb.csv,0.74,0.74,0.75,0.7,0.34,0.53,0.7,0.7,0.59,0.55,0.59,0.51,0.58,0.49,0.7,1.0,0.69,0.64,0.7,0.59
maya-work-in-progress.csv,0.82,0.64,0.65,0.62,0.57,0.58,0.65,0.66,0.61,0.98,0.35,0.33,0.57,0.48,0.64,0.71,0.66,0.75,0.55,0.65
netatalk.csv,0.59,0.58,0.59,0.38,0.28,0.24,0.55,0.57,0.38,0.39,0.49,0.49,0.4,0.42,0.44,0.56,0.46,0.94,0.54,0.49
novembre.csv,0.51,0.58,0.59,0.37,0.33,0.21,1.0,0.52,0.21,0.19,0.38,0.47,0.28,0.45,0.33,0.61,0.55,0.61,0.76,0.44
ns-3.csv,0.69,0.6,0.67,0.59,0.3,0.99,0.57,0.57,0.58,0.51,0.5,0.68,0.58,0.56,0.5,0.71,0.63,0.71,0.52,0.56
nullc.csv,0.26,0.41,0.26,0.3,1.0,0.57,0.21,0.5,0.36,0.46,0.47,0.49,0.17,0.69,0.52,0.63,0.52,0.13,0.47,0.42
open-beos.csv,0.52,0.72,0.7,0.54,0.42,0.38,0.55,0.64,0.94,0.39,0.48,0.53,0.62,0.2,0.64,0.77,0.67,0.51,0.73,0.48
pixel-commandos.csv,0.04,0.13,0.15,0.05,0.0,0.01,0.0,0.05,0.0,0.0,0.02,0.0,0.01,0.0,0.09,0.0,0.12,0.0,1.0,0.04
planeshift.csv,0.71,0.63,0.76,0.58,0.55,0.58,0.49,0.67,0.6,0.68,0.65,0.68,0.99,0.67,0.56,0.73,0.62,0.73,0.7,0.53
plee-the-bear.csv,0.24,0.3,0.9,0.0,0.21,0.23,0.0,0.02,0.25,0.25,0.31,0.25,0.48,0.34,0.14,0.5,0.19,0.38,0.0,0.32
reaper-ecad.csv,0.19,0.13,0.34,0.93,0.02,0.45,0.24,0.41,0.11,0.22,0.52,0.0,0.16,0.17,0.32,0.0,0.09,0.09,0.0,0.2
sbml.csv,0.81,0.7,0.77,0.73,0.48,0.58,0.55,0.72,0.67,0.55,0.48,0.75,0.71,0.45,0.97,0.85,0.7,0.54,0.65,0.67
unimrcp.csv,0.51,0.39,0.57,0.29,0.3,0.25,0.31,0.42,0.23,0.26,0.33,1.0,0.38,0.4,0.32,0.43,0.59,0.17,0.54,0.29
unladen-swallow.csv,0.14,0.72,0.24,0.05,0.36,0.42,0.43,0.18,0.21,0.22,0.49,0.32,0.48,0.25,0.47,0.54,0.31,0.55,0.0,0.44
xmoto.csv,0.82,0.68,0.66,0.29,0.53,0.55,0.6,0.64,0.59,0.48,0.66,0.66,0.65,0.45,0.55,0.73,0.66,0.69,0.72,0.98
