,kwave.csv,atlc.csv,theresa.csv,thrust.csv,yaprm.csv,tktoolkit.csv,iaml.csv,cubefs.csv,rtrt-on-gpu.csv,bwapi.csv,xstore.csv,freewrl.csv,jrdf.csv,oscarmcmaster.csv,arm-webradio.csv
arm-webradio.csv,0.06,0.51,0.33,0.06,0.51,0.04,0.46,0.35,0.5,0.68,0.63,0.0,0.0,0.49,0.97
atlc.csv,0.62,0.76,0.67,0.94,0.49,0.65,0.92,0.68,0.7,0.45,0.74,0.89,1.0,0.6,0.69
bwapi.csv,1.0,0.95,0.67,1.0,1.0,1.0,0.99,0.75,0.9,0.8,0.74,1.0,1.0,0.83,0.49
cubefs.csv,1.0,1.0,1.0,0.88,1.0,1.0,0.65,0.69,1.0,0.09,0.52,0.04,0.2,0.7,1.0
freewrl.csv,0.94,1.0,1.0,0.76,0.84,0.96,0.86,0.51,1.0,1.0,1.0,0.78,0.73,0.94,1.0
iaml.csv,0.12,0.56,0.0,0.0,0.3,0.43,0.69,0.1,0.3,0.16,0.41,0.41,0.4,0.51,0.26
jrdf.csv,0.38,0.9,0.0,0.41,0.57,1.0,0.75,0.38,0.6,0.01,0.09,0.0,0.73,0.49,0.03
kwave.csv,0.56,1.0,1.0,0.0,0.73,1.0,0.6,0.18,0.7,0.27,0.85,0.0,0.67,0.87,1.0
oscarmcmaster.csv,0.31,0.49,0.33,0.06,0.7,0.48,0.42,0.68,0.2,0.42,0.72,0.22,0.67,0.6,0.71
rtrt-on-gpu.csv,0.12,0.71,0.33,0.59,0.76,0.3,0.56,0.17,0.8,0.76,0.15,0.11,0.27,0.34,0.43
theresa.csv,0.25,0.29,1.0,0.0,0.35,0.74,0.23,0.23,0.3,0.13,0.39,0.37,0.4,0.38,0.51
thrust.csv,0.0,0.0,0.0,0.47,0.16,0.04,0.29,0.32,0.0,0.07,0.17,0.3,0.33,0.15,0.06
tktoolkit.csv,0.88,0.1,0.67,0.76,0.59,0.57,0.26,1.0,0.9,0.63,0.76,0.11,0.53,0.74,0.74
xstore.csv,0.38,0.85,1.0,0.0,0.19,0.87,0.25,0.29,0.3,0.16,0.7,0.04,0.2,0.51,0.77
yaprm.csv,0.38,0.0,0.67,0.29,0.68,0.39,0.57,0.57,0.3,0.08,0.26,1.0,0.53,0.47,0.0
