,x4x.csv,xharbour.csv,megasquirtavr.csv,atomsite.csv,hazelcast.csv,emisview.csv,trackit.csv,betoffice.csv,jitterbit.csv,wxlua.csv,bnetd.csv,jppf-project.csv,bionote.csv,l2j.csv,stajistics.csv,elvishrayrenderer.csv
atomsite.csv,0.78,0.98,0.77,0.05,1.11,0.6,0.87,0.77,0.65,0.86,0.66,0.96,0.55,0.88,0.76,0.91
betoffice.csv,0.81,0.81,0.85,0.83,0.77,0.78,0.77,0.03,0.91,0.87,0.97,0.8,0.81,0.72,0.89,0.62
bionote.csv,0.9,0.99,1.0,1.0,0.96,0.96,1.0,1.0,0.95,0.98,1.0,0.97,0.12,0.97,0.97,0.97
bnetd.csv,0.74,0.66,0.59,0.51,0.61,0.68,0.91,0.72,0.63,0.71,0.08,0.88,0.67,0.59,0.69,0.76
elvishrayrenderer.csv,0.7,0.48,0.78,0.68,0.35,0.91,0.75,0.73,0.65,0.87,0.54,0.9,0.74,0.61,0.55,0.03
emisview.csv,0.89,1.0,1.03,0.68,0.86,0.04,0.82,0.76,0.53,0.9,1.0,0.92,0.52,0.91,0.73,0.74
hazelcast.csv,0.84,1.0,0.56,1.0,0.0,1.0,0.92,0.78,0.89,1.0,1.0,1.0,0.93,0.59,0.73,1.0
jitterbit.csv,0.8,0.75,0.92,0.56,0.6,0.68,0.82,0.96,0.03,1.05,0.76,0.71,0.53,0.78,0.71,0.71
jppf-project.csv,1.0,1.0,0.87,0.93,1.0,0.98,1.0,0.98,1.02,1.0,1.0,0.0,0.8,0.95,0.97,1.0
l2j.csv,0.7,0.53,0.85,0.77,0.24,0.84,0.77,0.71,0.83,0.77,0.53,0.88,0.68,0.01,0.56,0.61
megasquirtavr.csv,1.0,0.69,0.2,0.89,1.0,0.96,0.87,0.87,0.96,0.68,0.86,1.0,0.98,1.0,0.96,0.94
stajistics.csv,0.74,0.95,0.89,0.6,0.55,0.68,0.61,0.74,0.62,0.62,0.96,0.89,0.44,0.84,0.1,0.58
trackit.csv,0.58,0.47,0.44,0.55,0.53,0.69,0.0,0.76,0.66,0.74,0.77,0.66,0.59,0.61,0.53,0.68
wxlua.csv,0.92,1.0,0.82,0.91,1.0,0.9,0.91,0.96,0.97,0.0,0.83,1.0,0.82,0.99,0.99,0.96
x4x.csv,0.0,0.95,0.74,0.9,0.53,0.93,0.58,0.7,0.85,0.89,0.89,0.89,0.94,0.83,0.65,1.01
xharbour.csv,1.0,0.0,0.59,0.57,0.8,0.55,0.96,0.96,0.77,0.74,0.83,0.57,1.0,0.96,0.96,0.8
