,gtad.csv,wgs-assembler.csv,nh3d.csv,jvcl.csv,kaffeine.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,taokgame.csv,scen-connect.csv,htmlunit.csv,jaxen.csv,emulemorph.csv,jsr308-langtools.csv,continuum-ide.csv,motu.csv,anaxagora.csv,stemkit.csv,zabbix.csv,carabiner.csv
anaxagora.csv,0.74,0.76,0.99,0.99,0.45,0.7,0.84,0.73,0.6,0.79,0.56,0.75,0.74,0.56,0.84,0.79,0.46,0.77,0.99,0.56
blogentis.csv,0.75,0.77,0.81,0.67,1.01,0.81,0.37,0.74,0.93,0.49,0.74,0.92,1.0,0.57,1.0,0.74,0.68,0.8,0.87,0.82
carabiner.csv,0.93,0.83,0.72,0.89,0.65,0.86,0.55,0.7,0.94,0.52,0.8,0.79,0.88,0.85,0.87,0.61,0.65,0.95,0.83,0.43
continuum-ide.csv,1.0,0.75,1.13,0.69,1.07,0.82,0.88,0.82,0.91,0.02,0.55,1.0,0.84,0.64,0.39,0.78,0.91,0.84,1.0,0.95
emulemorph.csv,1.0,0.85,0.75,0.61,0.71,0.92,0.58,1.0,0.51,1.0,0.98,0.62,0.34,0.68,0.83,1.0,0.95,0.57,0.94,0.91
gtad.csv,0.17,0.55,0.85,0.88,0.86,0.57,0.59,0.96,0.91,0.34,0.72,0.6,0.56,0.7,0.73,0.42,0.82,0.69,0.78,0.74
htmlunit.csv,0.45,0.76,0.82,0.56,0.67,0.65,0.67,0.82,0.75,0.43,0.46,0.63,0.64,0.58,0.62,0.68,0.72,0.59,0.77,0.62
jaxen.csv,0.85,0.88,0.91,0.6,1.01,0.68,0.81,0.87,0.4,1.35,0.57,0.1,0.85,0.82,0.92,0.79,0.87,0.85,0.61,0.87
jsr308-langtools.csv,0.96,1.0,1.0,1.0,1.0,0.99,1.0,1.0,0.85,1.0,1.0,1.0,1.0,0.12,1.0,1.0,1.0,1.0,1.0,1.0
jvcl.csv,0.52,0.8,0.5,0.48,0.8,0.73,0.55,0.9,0.72,1.02,0.77,0.43,0.58,0.87,0.73,0.86,0.78,1.0,0.48,0.74
kaffeine.csv,0.96,0.83,0.87,0.98,0.19,0.53,0.74,0.7,1.0,0.57,0.61,0.62,0.89,0.9,0.82,0.59,0.66,0.82,1.0,0.59
m-m-m.csv,0.46,0.67,0.5,0.92,0.56,0.77,0.95,0.29,0.9,0.97,0.92,0.98,0.68,0.72,0.73,0.93,0.83,0.99,0.86,0.98
motu.csv,0.83,0.65,0.62,0.89,0.6,0.87,0.95,0.71,0.86,1.01,0.99,1.0,0.64,0.9,0.74,0.39,0.67,0.62,0.96,0.61
nh3d.csv,1.0,0.63,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.71,1.0,1.0,0.95,1.0,1.0,1.0,1.0,1.0,1.0
sarasvati.csv,0.62,0.75,0.67,0.87,0.92,0.33,0.87,0.81,0.97,0.25,0.64,0.94,1.03,0.47,0.62,0.62,0.53,0.84,0.98,0.58
stemkit.csv,1.01,0.75,1.0,0.69,0.69,1.05,0.76,0.77,0.58,1.04,0.68,1.0,0.48,0.54,0.88,0.89,0.98,0.41,0.62,0.91
taokgame.csv,0.59,1.0,1.0,0.7,0.94,0.93,0.77,0.9,0.1,1.03,0.97,0.83,0.56,0.84,0.85,1.0,0.81,0.84,0.62,0.77
wgs-assembler.csv,0.52,0.57,0.86,0.89,0.84,0.64,0.75,0.86,0.57,0.87,0.55,0.61,0.69,0.36,0.81,0.83,0.69,0.74,1.06,0.49
zabbix.csv,0.68,0.81,1.01,1.0,0.47,0.73,0.6,0.63,0.87,1.04,0.64,0.68,0.67,0.38,0.89,0.74,0.77,0.51,0.57,0.94
