,barracudamvc.csv,sevenupdate.csv,mclient-mume.csv,dxengine.csv,jsidplay2.csv,sblim.csv,springside.csv,swtfox.csv,tmva.csv,calcubetimer.csv,freedom-erp.csv,joustsim.csv,madman.csv,reaper3d.csv,primefaces.csv,chaosrts.csv
barracudamvc.csv,95.5,99.0,97.5,99.0,99.0,288.5,489.5,97.5,197.5,97.5,778.5,1299.5,645.5,4600.5,99.0,99.0
calcubetimer.csv,98.5,96.5,412.0,99.0,99.0,384.0,292.5,97.5,197.5,97.5,585.5,1329.5,455.5,938.0,94.5,99.0
chaosrts.csv,95.5,93.5,348.0,97.5,95.5,187.0,194.0,97.5,196.5,97.5,583.5,851.5,459.5,2503.0,94.5,99.0
dxengine.csv,98.5,93.5,97.5,94.5,187.0,384.0,374.0,98.5,98.5,28.5,0.0,664.5,86.5,863.0,98.5,89.5
freedom-erp.csv,97.5,49.5,97.5,17.5,97.5,161.0,0.0,487.0,58.5,97.5,94.5,478.0,645.5,0.0,76.5,99.0
joustsim.csv,97.5,99.0,97.5,99.0,76.5,384.0,96.5,96.5,197.5,97.5,766.5,474.0,456.5,3949.0,97.5,98.5
jsidplay2.csv,98.5,96.5,609.0,188.0,99.0,1225.0,562.5,97.5,85.5,94.5,485.0,1259.0,815.5,723.5,129.0,99.0
madman.csv,99.0,79.5,97.5,99.0,168.0,189.0,489.5,98.5,98.5,97.5,192.0,1209.0,184.0,1034.5,99.0,97.5
mclient-mume.csv,99.0,93.5,97.5,99.0,92.5,187.0,96.5,75.5,98.5,94.5,733.5,375.5,463.0,3545.0,97.5,98.5
primefaces.csv,98.5,99.0,97.5,99.0,98.5,384.0,390.5,98.5,197.5,97.5,486.0,1463.5,645.5,4650.0,99.0,99.0
reaper3d.csv,99.0,99.0,85.5,97.5,99.0,189.0,91.5,322.0,98.5,97.5,191.0,603.0,264.5,1778.5,99.0,97.5
sblim.csv,98.5,93.5,97.5,99.0,98.5,284.5,86.5,98.5,197.5,94.5,289.5,393.5,370.0,1158.5,97.5,99.0
sevenupdate.csv,99.0,99.0,97.5,99.0,99.0,189.0,489.5,98.5,197.5,97.5,778.5,1463.5,549.0,4650.0,99.0,99.0
springside.csv,95.5,99.0,97.5,99.0,98.5,283.5,193.0,423.5,197.5,94.5,191.0,705.0,645.5,3919.0,97.5,99.0
swtfox.csv,99.0,99.0,97.5,33.5,99.0,999.0,390.5,98.5,196.5,97.5,945.5,281.0,81.5,2714.5,99.0,99.0
tmva.csv,98.5,99.0,97.5,97.5,99.0,283.5,489.5,523.0,197.5,97.5,778.5,1217.0,549.0,2995.5,94.5,99.0
