,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,java-gnome.csv,tycho.csv,unicase.csv
gwanted.csv,0.74,0.53,0.69,0.65,0.43,0.62,0.43,0.71,0.11,0.0,0.94
ivatamasks.csv,1.0,0.62,0.69,0.73,0.8,0.36,0.7,0.75,0.3,0.8,0.77
java-gnome.csv,0.84,0.07,0.19,0.6,0.42,0.07,0.3,0.32,0.75,0.11,0.26
orc.csv,0.05,0.49,0.88,0.59,0.1,0.57,0.26,0.61,0.12,0.03,0.56
plato.csv,0.95,1.0,0.75,0.71,0.86,0.86,0.92,0.71,0.14,1.0,0.98
rodin-b-sharp.csv,0.53,0.67,0.56,0.33,0.13,0.67,0.84,0.29,0.88,0.0,0.46
tycho.csv,0.16,0.49,0.31,0.58,0.31,0.33,0.37,0.39,0.12,0.71,0.79
umber.csv,0.89,0.9,1.0,0.93,0.58,0.98,0.96,0.86,1.0,0.14,0.58
unicase.csv,0.84,0.77,0.81,0.65,0.42,0.86,0.81,0.64,0.88,0.57,0.7
vienna-add-in.csv,0.84,0.49,0.5,0.78,0.7,0.52,0.42,0.5,0.18,0.57,0.53
wpdev.csv,1.0,0.99,1.0,1.0,0.95,1.0,1.0,0.79,0.96,1.0,1.0
