,scenemonitor.csv,pustefix.csv,haggle.csv,avisynth2.csv,ibatisdb.csv,ngl.csv,jas.csv,wsmt.csv,mesa3d.csv,coot.csv
avisynth2.csv,0.0,0.0,0.0,1.0,0.03,0.01,0.0,0.03,0.0,0.0
coot.csv,0.35,0.17,0.38,0.0,0.25,0.36,0.5,0.2,0.35,0.98
haggle.csv,0.45,0.61,0.99,1.0,0.47,0.66,0.62,0.49,0.39,0.75
ibatisdb.csv,0.1,0.52,0.23,0.0,0.97,0.35,0.0,0.2,0.3,0.6
jas.csv,0.25,0.0,0.3,0.0,0.03,0.16,1.0,0.14,0.23,0.45
mesa3d.csv,0.45,0.13,0.18,0.0,0.58,0.35,0.12,0.17,0.77,0.42
ngl.csv,0.45,0.39,0.68,1.0,0.28,1.0,0.25,0.37,0.55,0.65
pustefix.csv,0.7,0.91,0.05,0.0,0.11,0.08,0.62,0.29,0.3,0.0
scenemonitor.csv,1.0,0.57,0.28,1.0,0.25,0.39,0.5,0.63,0.57,0.68
wsmt.csv,0.15,0.0,0.32,0.33,0.08,0.26,0.38,0.94,0.12,0.1
