,scenemonitor.csv,pustefix.csv,haggle.csv,avisynth2.csv,ibatisdb.csv,ngl.csv,jas.csv,wsmt.csv,mesa3d.csv,coot.csv
avisynth2.csv,1.0,1.0,1.0,0.0,0.97,0.99,1.0,0.97,1.0,1.0
coot.csv,0.86,0.85,0.76,1.02,0.9,0.7,0.73,0.94,0.69,0.03
haggle.csv,0.6,0.57,0.01,0.47,0.63,0.51,0.63,0.87,0.7,0.72
ibatisdb.csv,0.9,0.79,0.83,1.02,0.03,0.77,1.01,0.85,0.75,0.55
jas.csv,0.75,1.0,0.79,1.0,0.97,0.86,0.0,0.93,0.82,0.79
mesa3d.csv,0.6,0.91,0.86,1.01,0.58,0.79,0.89,0.86,0.23,0.65
ngl.csv,0.65,0.71,0.55,0.37,0.83,0.02,0.82,0.97,0.62,0.67
pustefix.csv,0.9,0.09,0.95,1.0,1.0,0.93,0.61,0.93,0.72,1.0
scenemonitor.csv,0.0,0.66,0.8,0.24,0.9,0.66,0.74,0.68,0.62,0.5
wsmt.csv,0.86,1.0,0.72,0.68,0.94,0.77,0.68,0.06,0.9,0.93
