,scenemonitor.csv,pustefix.csv,haggle.csv,avisynth2.csv,ibatisdb.csv,ngl.csv,jas.csv,wsmt.csv,mesa3d.csv,coot.csv
avisynth2.csv,0.0,0.0,0.0,0.67,0.5,0.75,0.0,0.0,0.67,0.0
coot.csv,0.6,0.94,0.63,0.92,0.84,0.64,0.56,0.59,0.6,0.54
haggle.csv,0.59,0.47,0.56,0.47,0.58,0.47,0.42,0.42,0.67,0.4
ibatisdb.csv,0.8,0.53,0.9,0.91,0.8,0.68,0.93,0.62,0.72,0.53
jas.csv,0.83,0.8,0.97,0.0,0.86,0.98,0.88,0.75,0.99,0.69
mesa3d.csv,0.65,0.9,0.87,0.89,0.67,0.83,0.95,0.92,0.95,0.61
ngl.csv,0.5,0.5,0.57,0.46,0.54,0.56,0.57,0.4,0.5,0.47
pustefix.csv,0.39,0.81,0.83,0.75,0.86,0.96,0.66,0.54,0.94,0.67
scenemonitor.csv,0.55,0.5,0.53,0.61,0.58,0.55,0.5,0.51,0.4,0.39
wsmt.csv,0.86,0.83,0.85,0.9,0.96,0.8,0.94,0.61,0.98,0.92
