,scenemonitor.csv,pustefix.csv,haggle.csv,avisynth2.csv,ibatisdb.csv,ngl.csv,jas.csv,wsmt.csv,mesa3d.csv,coot.csv
avisynth2.csv,0.0,0.0,0.0,1.0,0.5,0.5,0.0,1.0,0.0,0.0
coot.csv,0.28,0.24,0.61,0.0,0.15,0.59,0.06,0.32,0.29,1.0
haggle.csv,0.53,0.35,1.0,0.09,0.32,0.67,0.08,0.45,0.23,0.55
ibatisdb.csv,0.4,0.24,0.57,0.0,1.0,0.49,0.0,0.44,0.22,0.63
jas.csv,0.83,0.0,0.59,0.0,0.14,0.48,1.0,0.31,0.18,0.46
mesa3d.csv,0.53,0.15,0.57,0.0,0.33,0.48,0.05,0.46,0.9,0.61
ngl.csv,0.45,0.28,0.74,0.12,0.19,0.98,0.05,0.37,0.26,0.55
pustefix.csv,0.34,1.0,0.67,0.0,0.08,0.65,0.08,0.36,0.32,0.0
scenemonitor.csv,1.0,0.3,0.58,0.17,0.15,0.63,0.06,0.56,0.25,0.66
wsmt.csv,0.43,0.0,0.71,0.1,0.12,0.59,0.09,1.0,0.16,0.33
