,scenemonitor.csv,pustefix.csv,haggle.csv,avisynth2.csv,ibatisdb.csv,ngl.csv,jas.csv,wsmt.csv,mesa3d.csv,coot.csv
avisynth2.csv,51.0,84.0,114.0,0.0,1.0,0.0,124.0,0.0,322.0,76.0
coot.csv,11.0,4.0,0.0,64.0,15.0,1.0,38.0,1.0,2.0,0.0
haggle.csv,5.0,0.0,0.0,10.0,11.0,1.0,18.0,1.0,0.0,2.0
ibatisdb.csv,1.0,4.0,1.0,64.0,0.0,0.0,124.0,1.0,5.0,0.0
jas.csv,0.0,84.0,0.0,64.0,3.0,0.0,0.0,0.0,2.0,1.0
mesa3d.csv,0.0,14.0,1.0,64.0,8.0,0.0,14.0,0.0,0.0,0.0
ngl.csv,1.0,5.0,0.0,6.0,11.0,0.0,22.0,1.0,3.0,0.0
pustefix.csv,0.0,0.0,1.0,64.0,32.0,3.0,45.0,1.0,0.0,76.0
scenemonitor.csv,0.0,1.0,5.0,4.0,18.0,0.0,25.0,0.0,7.0,0.0
wsmt.csv,3.0,84.0,0.0,9.0,14.0,0.0,7.0,0.0,3.0,1.0
