,kmatplot.csv,dynalloy.csv,jcae.csv,nosleepsoftware.csv,popeye-chess.csv,blue-c.csv,mscore.csv,openmalaria.csv,riff-evolve.csv,archive-crawler.csv,all-plasm.csv,virtuoso.csv
all-plasm.csv,0.63,0.97,0.81,0.86,0.81,0.52,0.97,0.66,0.68,0.69,0.61,0.96
archive-crawler.csv,0.86,0.77,0.94,0.86,0.66,0.42,0.56,0.58,0.63,0.59,0.39,0.88
blue-c.csv,0.43,0.52,0.4,0.64,0.53,0.46,0.49,0.54,0.52,0.48,0.4,0.39
dynalloy.csv,0.45,0.64,0.65,0.68,0.64,0.75,0.68,0.51,0.62,0.5,0.42,0.65
jcae.csv,0.59,0.8,0.62,0.69,0.55,0.4,0.58,0.64,0.82,0.42,0.53,0.92
kmatplot.csv,0.49,0.47,0.39,0.39,0.5,0.4,0.61,0.53,0.48,0.41,0.42,0.4
mscore.csv,0.4,0.39,0.29,0.4,0.48,0.38,0.41,0.43,0.44,0.35,0.3,0.37
nosleepsoftware.csv,0.67,0.0,0.0,0.55,0.0,0.67,0.72,0.83,0.8,0.86,0.5,0.0
openmalaria.csv,0.45,0.42,0.3,0.34,0.4,0.35,0.37,0.43,0.36,0.39,0.3,0.33
popeye-chess.csv,0.54,0.57,0.4,0.41,0.47,0.39,0.4,0.57,0.56,0.48,0.42,0.4
riff-evolve.csv,0.48,0.67,0.31,0.69,0.45,0.58,0.53,0.67,0.54,0.53,0.41,0.35
virtuoso.csv,0.43,0.39,0.31,0.43,0.69,0.42,0.41,0.4,0.44,0.38,0.33,0.71
