,beast-mcmc.csv,openefm.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,cuberok.csv,jgnash.csv,jbasic.csv,apertium.csv,yarp0.csv,exist.csv,mp-rechnungs-und-kundenverwaltung.csv,wheat.csv,ingex.csv,power-architect.csv,javaprofiler.csv
apertium.csv,0.56,0.48,0.73,0.69,0.63,0.68,0.71,0.7,0.66,0.57,0.0,0.83,0.68,0.61,0.76,0.84,0.73,0.75
beast-mcmc.csv,0.08,0.56,0.7,0.74,0.78,0.7,0.68,0.74,0.5,0.79,1.0,0.85,0.67,0.65,0.93,0.76,0.89,0.9
cuberok.csv,0.74,0.57,0.77,0.58,0.75,0.87,0.74,0.1,0.61,0.74,0.76,0.67,0.6,0.69,0.7,0.8,0.81,0.81
exist.csv,0.47,0.58,0.7,0.58,0.52,0.7,0.58,0.75,0.57,0.44,0.79,0.67,0.04,0.69,0.9,0.59,0.82,0.69
ingex.csv,0.71,0.85,0.93,0.71,0.94,0.79,0.73,0.91,0.88,0.89,0.99,0.94,0.87,0.89,0.79,0.0,0.89,0.87
javaprofiler.csv,0.58,0.61,0.65,0.65,0.58,0.66,0.67,0.76,0.63,0.69,0.47,0.73,0.63,0.56,0.84,0.76,0.73,0.04
jbasic.csv,0.61,0.74,0.74,0.78,0.77,0.76,0.68,0.78,0.76,0.05,0.79,0.77,0.7,0.64,0.93,0.64,0.74,0.9
jgnash.csv,0.87,0.76,0.87,0.88,0.89,0.88,0.84,0.91,0.12,0.86,0.78,0.88,0.86,0.88,0.94,0.98,0.95,0.88
jrefactory.csv,0.85,0.63,0.06,0.66,0.82,0.79,0.8,0.55,0.66,0.81,0.71,0.63,0.82,0.56,0.7,0.8,0.69,0.6
jsecurity.csv,0.85,0.65,0.9,0.13,0.77,0.8,0.74,0.74,0.74,0.68,0.85,0.69,0.86,0.83,0.74,0.5,0.81,0.7
libopenmetaverse.csv,0.79,0.89,0.79,0.93,0.78,0.0,0.84,0.73,0.82,0.79,0.97,0.58,0.75,0.78,0.84,0.82,0.98,0.66
mobicents.csv,0.5,0.69,0.64,0.73,0.58,0.6,0.02,0.68,0.79,0.49,0.68,0.58,0.64,0.55,0.78,0.63,0.63,0.83
mp-rechnungs-und-kundenverwaltung.csv,0.75,0.77,0.77,0.71,0.77,0.82,0.61,0.79,0.68,0.82,0.79,0.76,0.75,0.09,0.74,0.59,0.87,0.63
openefm.csv,0.72,0.09,0.78,0.78,0.82,0.74,0.73,0.68,0.89,0.51,0.81,0.86,0.61,0.69,0.85,0.74,0.74,0.73
power-architect.csv,0.85,0.78,0.7,0.79,0.85,0.97,0.67,0.9,0.71,0.79,0.82,0.98,0.68,0.74,0.8,0.97,0.0,0.94
sidekar.csv,0.64,0.72,0.77,0.48,0.02,0.57,0.57,0.58,0.49,0.74,0.54,0.66,0.51,0.73,0.72,0.6,0.68,0.73
wheat.csv,0.72,0.72,0.92,0.78,0.94,0.65,0.73,0.73,0.85,0.81,0.81,0.66,0.66,0.9,0.0,0.59,0.65,0.79
yarp0.csv,0.91,0.87,0.88,0.9,0.85,0.65,0.89,0.77,0.93,0.96,0.86,0.0,0.6,0.87,0.67,0.55,0.94,1.01
