,beast-mcmc.csv,openefm.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,cuberok.csv,jgnash.csv,jbasic.csv,apertium.csv,yarp0.csv,exist.csv,mp-rechnungs-und-kundenverwaltung.csv,wheat.csv,ingex.csv,power-architect.csv,javaprofiler.csv
apertium.csv,0.48,0.31,0.26,0.26,0.58,0.23,0.44,0.57,0.57,0.2,0.0,0.18,0.29,0.47,0.12,0.16,0.43,0.22
beast-mcmc.csv,0.0,0.21,0.32,0.57,0.05,0.11,0.19,0.29,0.15,0.14,1.0,0.24,0.18,0.22,0.04,0.32,0.5,0.06
cuberok.csv,0.65,0.3,0.74,0.22,0.66,0.86,0.67,0.03,0.58,0.14,0.41,0.45,0.49,0.67,0.58,0.46,0.79,0.67
exist.csv,0.22,0.36,0.34,0.26,0.26,0.46,0.27,0.46,0.23,0.35,0.22,0.24,0.04,0.48,0.12,0.38,0.5,0.22
ingex.csv,0.15,0.03,0.11,0.16,0.0,0.26,0.19,0.09,0.06,0.09,0.24,0.05,0.04,0.04,0.08,0.0,0.07,0.28
javaprofiler.csv,0.27,0.51,0.34,0.46,0.24,0.51,0.47,0.74,0.29,0.41,0.24,0.71,0.4,0.39,0.29,0.32,0.29,0.03
jbasic.csv,0.1,0.24,0.16,0.14,0.05,0.31,0.16,0.11,0.24,0.02,0.22,0.18,0.11,0.27,0.04,0.26,0.36,0.06
jgnash.csv,0.06,0.04,0.21,0.12,0.05,0.17,0.08,0.06,0.0,0.08,0.16,0.13,0.14,0.11,0.12,0.14,0.07,0.06
jrefactory.csv,0.43,0.31,0.0,0.3,0.53,0.66,0.34,0.31,0.4,0.61,0.55,0.55,0.42,0.33,0.58,0.58,0.29,0.44
jsecurity.csv,0.27,0.12,0.26,0.0,0.24,0.49,0.31,0.69,0.37,0.11,0.14,0.29,0.34,0.31,0.67,0.36,0.14,0.22
libopenmetaverse.csv,0.7,0.63,0.76,0.85,0.74,0.0,0.79,0.71,0.77,0.77,0.79,0.53,0.67,0.75,0.58,0.8,0.86,0.58
mobicents.csv,0.31,0.18,0.45,0.29,0.39,0.29,0.01,0.4,0.46,0.42,0.33,0.13,0.52,0.39,0.21,0.48,0.36,0.36
mp-rechnungs-und-kundenverwaltung.csv,0.56,0.13,0.18,0.15,0.03,0.6,0.42,0.14,0.06,0.14,0.33,0.11,0.19,0.01,0.42,0.28,0.07,0.36
openefm.csv,0.17,0.0,0.55,0.15,0.08,0.49,0.19,0.03,0.38,0.23,0.5,0.29,0.41,0.48,0.21,0.14,0.14,0.36
power-architect.csv,0.78,0.69,0.68,0.79,0.84,0.97,0.61,0.77,0.59,0.58,0.81,0.97,0.62,0.72,0.79,0.84,0.0,0.75
sidekar.csv,0.52,0.28,0.5,0.39,0.0,0.51,0.47,0.29,0.43,0.26,0.4,0.21,0.39,0.71,0.25,0.46,0.57,0.42
wheat.csv,0.44,0.43,0.26,0.11,0.16,0.34,0.4,0.63,0.28,0.06,0.28,0.34,0.42,0.39,0.0,0.28,0.0,0.61
yarp0.csv,0.9,0.82,0.87,0.86,0.84,0.34,0.88,0.43,0.91,0.95,0.84,0.0,0.53,0.86,0.29,0.46,0.93,1.0
