,elmo.csv,xbplayer.csv,decidr.csv,tolven.csv,mscore.csv
decidr.csv,0.11,0.33,0.81,0.42,0.61
elmo.csv,0.17,0.35,0.7,0.52,0.65
mscore.csv,0.08,0.39,0.62,0.34,0.75
tolven.csv,0.0,0.47,0.75,0.6,0.83
xbplayer.csv,0.08,0.52,0.75,0.47,0.78
