,elmo.csv,xbplayer.csv,decidr.csv,tolven.csv,mscore.csv
decidr.csv,0.19,0.5,0.77,0.58,0.73
elmo.csv,0.28,0.38,0.66,0.62,0.54
mscore.csv,0.13,0.54,0.73,0.5,0.71
tolven.csv,0.0,0.39,0.69,0.68,0.31
xbplayer.csv,0.12,0.62,0.62,0.62,0.57
