,rhex.csv,qgo.csv,firebird.csv,applet2app.csv,yield.csv,cities3d.csv,hydrogen.csv,xined.csv,lphant.csv,open-ms.csv,autowikibrowser.csv,rocrail.csv,quickfast.csv
applet2app.csv,0.05,0.03,0.03,0.13,0.01,0.12,0.06,0.4,0.24,0.14,0.17,0.11,0.12
autowikibrowser.csv,0.25,0.23,0.4,0.42,0.13,0.44,0.13,0.4,0.24,0.28,0.19,0.35,0.25
cities3d.csv,0.02,0.34,0.01,0.21,0.12,0.01,0.01,0.12,0.03,0.22,0.0,0.16,0.03
firebird.csv,0.22,0.43,0.32,0.45,0.06,0.48,0.26,0.84,0.76,0.29,0.52,0.36,0.59
hydrogen.csv,0.01,0.03,0.0,0.0,0.0,0.08,0.04,0.33,0.03,0.0,0.0,0.0,0.06
lphant.csv,0.47,0.4,0.32,0.35,0.43,0.39,0.3,0.26,0.15,0.57,0.31,0.48,0.22
open-ms.csv,0.01,0.0,0.12,0.04,0.0,0.07,0.06,0.19,0.09,0.03,0.09,0.08,0.06
qgo.csv,0.95,0.14,0.92,0.46,0.51,0.92,0.52,0.88,0.97,0.84,0.85,0.76,0.69
quickfast.csv,0.93,0.46,0.91,0.53,0.63,0.83,0.61,0.65,0.97,0.95,0.93,0.7,0.28
rhex.csv,0.02,0.34,0.01,0.41,0.03,0.04,0.05,0.09,0.0,0.04,0.07,0.02,0.25
rocrail.csv,0.2,0.14,0.22,0.56,0.18,0.37,0.15,0.26,0.18,0.27,0.19,0.1,0.38
xined.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0
yield.csv,0.83,0.54,0.73,0.84,0.12,1.0,0.97,0.98,0.76,0.91,0.63,0.86,0.62
