,zscreen.csv,popeye-chess.csv,ossbuild.csv,quarkplayer.csv,turbotrader-bos.csv,omseek.csv,kml.csv,virtuoso.csv,gdis.csv,biodwh.csv,genoviz.csv
biodwh.csv,0.17,0.2,0.06,0.27,0.26,0.3,0.06,0.52,0.05,1.0,0.4
gdis.csv,0.8,0.91,0.75,0.91,0.96,0.91,0.94,0.81,1.0,0.58,0.8
genoviz.csv,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,1.0
kml.csv,0.26,0.06,0.38,0.45,0.66,0.64,0.97,0.19,0.42,0.5,0.6
omseek.csv,0.11,0.0,0.62,0.09,0.19,0.97,0.58,0.21,0.65,0.17,0.0
ossbuild.csv,0.37,0.54,1.0,0.36,0.62,0.39,0.14,0.14,0.28,0.42,0.6
popeye-chess.csv,0.35,0.94,0.56,0.64,0.77,0.79,0.78,0.74,0.67,0.83,1.0
quarkplayer.csv,0.2,0.06,0.0,0.73,0.05,0.0,0.06,0.36,0.12,0.0,0.4
turbotrader-bos.csv,0.46,0.43,0.34,0.18,0.97,0.39,0.22,0.33,0.28,0.25,0.6
virtuoso.csv,0.67,0.29,0.97,0.45,0.65,0.94,0.28,0.93,0.54,0.75,1.0
zscreen.csv,0.98,0.77,0.75,0.64,0.65,0.58,0.22,0.79,0.42,0.42,1.0
