,zscreen.csv,popeye-chess.csv,ossbuild.csv,quarkplayer.csv,turbotrader-bos.csv,omseek.csv,kml.csv,virtuoso.csv,gdis.csv,biodwh.csv,genoviz.csv
biodwh.csv,0.07,0.05,0.18,0.35,0.24,0.15,0.0,0.29,0.0,0.0,0.22
gdis.csv,0.59,0.93,0.82,0.72,0.91,0.83,0.77,0.86,0.0,0.79,0.69
genoviz.csv,0.0,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.03,0.0
kml.csv,0.07,0.07,0.42,0.3,0.32,0.28,0.0,0.21,0.0,0.44,0.4
omseek.csv,0.07,0.0,0.65,0.16,0.28,0.0,0.92,0.2,0.92,0.21,0.44
ossbuild.csv,0.26,0.11,0.0,0.4,0.25,0.27,0.18,0.09,0.46,0.34,0.44
popeye-chess.csv,0.15,0.0,0.71,0.48,0.46,0.49,0.46,0.58,0.38,0.63,0.71
quarkplayer.csv,0.22,0.07,0.01,0.0,0.01,0.12,0.15,0.21,0.08,0.0,0.13
turbotrader-bos.csv,0.48,0.2,0.05,0.23,0.0,0.26,0.03,0.17,0.0,0.31,0.2
virtuoso.csv,0.59,0.09,0.95,0.44,0.67,0.75,0.28,0.0,0.38,0.76,0.76
zscreen.csv,0.0,0.45,0.31,0.56,0.33,0.45,0.1,0.61,0.46,0.34,0.67
