,zscreen.csv,popeye-chess.csv,ossbuild.csv,quarkplayer.csv,turbotrader-bos.csv,omseek.csv,kml.csv,virtuoso.csv,gdis.csv,biodwh.csv,genoviz.csv
biodwh.csv,0.8,0.78,0.05,0.05,0.36,0.2,1.0,0.35,1.0,1.0,0.17
gdis.csv,0.7,0.44,0.12,0.08,0.35,0.12,0.53,0.22,1.0,0.11,0.11
genoviz.csv,0.0,0.0,0.0,0.0,0.53,0.0,0.0,0.0,0.0,0.0,1.0
kml.csv,0.86,0.4,0.12,0.09,0.51,0.22,1.0,0.21,1.0,0.16,0.14
omseek.csv,0.71,0.0,0.12,0.04,0.26,1.0,0.37,0.24,0.76,0.12,0.0
ossbuild.csv,0.71,0.79,1.0,0.06,0.55,0.15,0.42,0.32,0.73,0.17,0.13
popeye-chess.csv,0.8,1.0,0.1,0.08,0.45,0.17,0.61,0.28,0.88,0.18,0.14
quarkplayer.csv,0.6,0.4,0.0,1.0,0.64,0.0,0.25,0.34,0.88,0.0,0.25
turbotrader-bos.csv,0.62,0.62,0.48,0.05,1.0,0.16,0.89,0.37,1.0,0.12,0.25
virtuoso.csv,0.66,0.71,0.13,0.07,0.33,0.13,0.48,1.0,0.86,0.14,0.13
zscreen.csv,1.0,0.57,0.26,0.07,0.5,0.14,0.67,0.28,0.8,0.17,0.14
