,gtad.csv,wgs-assembler.csv,jicarilla.csv,ossim.csv,migen.csv,opennms.csv,mvnforum.csv,plplot.csv,micomt.csv,open-data-kit.csv,tradelink.csv,qedo.csv,ng4j.csv,jmule.csv
gtad.csv,0.18,0.51,0.14,0.17,0.26,0.06,0.3,0.12,0.0,0.16,0.08,0.3,0.1,0.0
jicarilla.csv,0.0,0.01,0.24,0.0,0.4,0.01,0.16,0.04,0.53,0.2,0.05,0.07,0.22,0.79
jmule.csv,0.66,0.6,0.35,0.57,0.47,0.71,0.7,0.37,0.61,0.32,0.6,0.53,0.27,0.14
micomt.csv,0.89,0.69,0.76,0.8,0.65,0.83,0.86,0.82,0.1,0.73,0.7,0.83,0.73,0.86
migen.csv,0.13,0.09,0.46,0.23,0.26,0.34,0.16,0.09,0.22,0.27,0.26,0.56,0.14,0.0
mvnforum.csv,0.61,0.34,0.14,0.36,0.19,0.14,0.25,0.68,0.2,0.39,0.29,0.3,0.24,0.0
ng4j.csv,0.51,0.46,0.38,0.49,0.56,0.55,0.61,0.32,0.56,0.27,0.6,0.76,0.19,0.31
open-data-kit.csv,0.31,0.46,0.51,0.7,0.6,0.58,0.7,0.18,0.81,0.14,0.52,0.79,0.61,0.38
opennms.csv,0.23,0.53,0.22,0.2,0.3,0.29,0.2,0.23,0.81,0.48,0.21,0.3,0.39,0.66
ossim.csv,0.24,0.49,0.3,0.26,0.58,0.48,0.41,0.35,0.69,0.3,0.36,0.33,0.46,0.97
plplot.csv,0.75,0.97,0.62,0.3,0.49,0.53,0.57,0.3,0.1,0.61,0.6,0.21,0.42,0.76
qedo.csv,0.28,0.21,0.46,0.39,0.49,0.38,0.11,0.54,0.81,0.25,0.35,0.27,0.24,0.45
tradelink.csv,0.58,0.39,0.32,0.24,0.44,0.35,0.57,0.37,0.03,0.57,0.32,0.13,0.64,0.41
wgs-assembler.csv,0.39,0.29,0.16,0.68,0.47,0.42,0.18,0.21,0.93,0.27,0.4,0.38,0.68,0.38
