,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,java-gnome.csv,tycho.csv,unicase.csv,codesmith.csv
codesmith.csv,0.85,1.0,0.89,0.66,0.71,0.75,0.83,0.67,0.73,1.01,0.65,0.24
gwanted.csv,0.52,0.61,0.43,0.69,0.87,0.72,0.77,0.4,0.93,1.0,0.6,1.0
ivatamasks.csv,0.93,0.46,0.88,0.39,0.96,0.8,0.93,0.55,1.01,0.86,0.87,0.6
java-gnome.csv,0.36,1.28,0.9,1.0,0.66,0.87,0.89,0.85,0.22,0.64,0.87,0.72
orc.csv,0.97,0.51,0.24,0.65,0.97,0.71,0.8,0.68,0.95,0.89,0.61,0.85
plato.csv,0.98,1.0,0.97,0.85,0.98,0.29,0.95,0.69,0.86,1.0,0.98,0.94
rodin-b-sharp.csv,0.47,1.19,0.57,0.82,0.89,0.66,0.23,0.74,0.46,1.0,0.75,0.8
tycho.csv,0.94,0.66,0.61,0.79,0.67,0.65,0.85,0.59,0.66,0.33,0.91,0.79
umber.csv,0.17,1.01,0.99,0.64,0.9,1.0,0.89,0.89,1.0,0.76,0.54,1.0
unicase.csv,0.32,0.12,0.7,0.95,0.76,0.76,0.66,0.57,0.7,0.85,0.47,0.81
vienna-add-in.csv,0.76,1.1,0.98,0.78,0.49,0.77,0.82,0.66,0.93,0.62,0.9,0.97
wpdev.csv,0.98,0.0,0.98,1.0,0.98,1.0,1.0,0.94,1.0,0.96,0.99,0.9
