,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,java-gnome.csv,tycho.csv,unicase.csv,codesmith.csv
codesmith.csv,2.0,0.0,21.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
gwanted.csv,0.0,0.0,3.0,1.0,0.0,0.0,1.0,5.0,2.0,62.0,0.0,97.0
ivatamasks.csv,4.0,0.0,56.0,1.0,0.0,0.0,21.0,2.0,1.0,0.0,0.0,0.0
java-gnome.csv,7.0,0.0,16.0,144.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0
orc.csv,0.0,0.0,0.0,1.0,0.0,0.0,2.0,8.0,3.0,0.0,0.0,1.0
plato.csv,4.0,0.0,17.0,2.0,0.0,0.0,1.0,23.0,0.0,0.0,0.0,0.0
rodin-b-sharp.csv,0.0,0.0,1.0,0.0,0.0,0.0,1.0,8.0,0.0,62.0,0.0,0.0
tycho.csv,3.0,0.0,12.0,2.0,1.0,0.0,1.0,7.0,1.0,0.0,0.0,2.0
umber.csv,3.0,0.0,17.0,1.0,1.0,0.0,1.0,20.0,0.0,5.0,0.0,0.0
unicase.csv,1.0,0.0,6.0,1.0,1.0,0.0,1.0,14.0,0.0,1.0,0.0,0.0
vienna-add-in.csv,4.0,0.0,17.0,1.0,0.0,0.0,1.0,19.0,1.0,0.0,0.0,7.0
wpdev.csv,4.0,0.0,17.0,2.0,0.0,0.0,1.0,23.0,1.0,0.0,0.0,0.0
