,utgb.csv,fw4spl.csv,nassp.csv,super-tux.csv,soar.csv,mesa3d.csv,ipfilter.csv,tencompetence.csv,rockbox.csv
fw4spl.csv,0.55,0.25,0.28,0.0,0.76,0.55,0.63,0.29,0.47
ipfilter.csv,1.0,0.8,0.96,0.8,0.8,0.84,0.05,0.86,0.75
mesa3d.csv,0.48,0.88,0.57,0.4,0.36,0.32,0.95,0.65,0.66
nassp.csv,0.19,0.0,0.22,0.2,0.2,0.37,0.53,0.2,0.0
rockbox.csv,0.45,0.28,0.41,0.2,0.76,0.11,0.11,0.42,0.19
soar.csv,0.9,0.98,1.0,1.0,0.24,1.0,1.0,0.88,1.0
super-tux.csv,0.45,0.91,0.57,0.0,0.16,0.89,1.0,0.6,0.88
tencompetence.csv,0.23,0.39,0.13,0.4,0.52,0.44,0.0,0.26,0.22
utgb.csv,0.16,0.27,0.2,0.2,0.64,0.31,0.32,0.27,0.16
