,d2h
inkscape.csv,0.67
wxcrp.csv,0.47
m-m-m.csv,0.79
bacula.csv,0.73
extprosys.csv,0.66
lsb.csv,0.81
fritzing.csv,0.44
robocode.csv,0.79
capcode.csv,0.59
openefm.csv,0.59
etics.csv,0.44
novembre.csv,0.55
lmms.csv,0.57
codeblocks.csv,0.72
ontomorphtab.csv,0.66
x-ray-mule.csv,0.97
openintents.csv,0.75
atomsite.csv,0.87
bloodycore.csv,0.67
checker-framework.csv,0.35
arianne.csv,0.65
dsworkbench.csv,0.63
gogoego.csv,0.58
electric-core.csv,0.48
atlc.csv,0.68
rosegarden.csv,0.4
linuxsh.csv,0.57
theresa.csv,0.54
jcae.csv,0.49
dxengine.csv,0.51
uwom-server.csv,0.62
ivatamasks.csv,0.73
playerstage.csv,0.52
taverna.csv,0.89
rtb-team.csv,0.68
projectts.csv,0.75
autofac.csv,0.72
nsis.csv,0.83
knowledge.csv,0.33
esmf.csv,0.6
abbot.csv,0.59
konversation.csv,0.38
arsenal-1.csv,0.76
utgb.csv,0.73
taokgame.csv,0.68
openmeetings.csv,0.3
nosleepsoftware.csv,0.77
jsidplay2.csv,0.65
chipster.csv,0.79
badtrinitycore.csv,0.61
redshell.csv,0.8
zengine.csv,0.67
javagroups.csv,0.56
hazelcast.csv,0.84
xuggle.csv,0.42
moviesandbox.csv,0.65
jrefactory.csv,0.68
alembik.csv,0.73
mule.csv,0.67
aubit4gl.csv,0.67
sepgsql.csv,0.73
sblim.csv,0.77
pentahoanalysistool.csv,0.53
rezilla.csv,0.84
pcgen.csv,0.44
dvd-create.csv,0.79
freenet.csv,0.55
ivef-sdk.csv,0.52
adonthell.csv,0.73
algebsql.csv,0.89
