,pf
inkscape.csv,0.44
wxcrp.csv,0.31
m-m-m.csv,0.2
bacula.csv,0.71
extprosys.csv,0.37
lsb.csv,0.14
fritzing.csv,0.27
robocode.csv,0.11
capcode.csv,0.54
openefm.csv,0.28
etics.csv,0.21
novembre.csv,0.3
lmms.csv,0.23
codeblocks.csv,0.1
ontomorphtab.csv,0.1
x-ray-mule.csv,0.6
openintents.csv,0.64
atomsite.csv,0.09
bloodycore.csv,0.27
checker-framework.csv,0.16
arianne.csv,0.19
dsworkbench.csv,0.19
gogoego.csv,0.37
electric-core.csv,0.18
atlc.csv,0.0
rosegarden.csv,0.18
linuxsh.csv,0.35
theresa.csv,0.54
jcae.csv,0.49
dxengine.csv,0.25
uwom-server.csv,0.34
ivatamasks.csv,0.72
playerstage.csv,0.45
taverna.csv,0.25
rtb-team.csv,0.32
projectts.csv,0.19
autofac.csv,0.3
nsis.csv,0.29
knowledge.csv,0.2
esmf.csv,0.17
abbot.csv,0.44
konversation.csv,0.29
arsenal-1.csv,0.74
utgb.csv,0.16
taokgame.csv,0.65
openmeetings.csv,0.13
nosleepsoftware.csv,0.45
jsidplay2.csv,0.1
chipster.csv,0.21
badtrinitycore.csv,0.21
redshell.csv,0.62
zengine.csv,0.5
javagroups.csv,0.3
hazelcast.csv,0.0
xuggle.csv,0.29
moviesandbox.csv,0.23
jrefactory.csv,0.55
alembik.csv,0.1
mule.csv,0.27
aubit4gl.csv,0.52
sepgsql.csv,0.72
sblim.csv,0.5
pentahoanalysistool.csv,0.34
rezilla.csv,0.05
pcgen.csv,0.27
dvd-create.csv,0.06
freenet.csv,0.2
ivef-sdk.csv,0.1
adonthell.csv,0.21
algebsql.csv,0.14
