,pci_20
inkscape.csv,0.4
wxcrp.csv,0.42
m-m-m.csv,0.57
bacula.csv,0.37
extprosys.csv,0.64
lsb.csv,0.82
fritzing.csv,0.4
robocode.csv,0.75
capcode.csv,0.36
openefm.csv,0.49
etics.csv,0.47
novembre.csv,0.5
lmms.csv,0.52
codeblocks.csv,0.54
ontomorphtab.csv,0.5
x-ray-mule.csv,0.37
openintents.csv,0.34
atomsite.csv,0.86
bloodycore.csv,0.56
checker-framework.csv,0.39
arianne.csv,0.6
dsworkbench.csv,0.43
gogoego.csv,0.51
electric-core.csv,0.59
atlc.csv,0.69
rosegarden.csv,0.55
linuxsh.csv,0.52
theresa.csv,0.4
jcae.csv,0.38
dxengine.csv,0.46
uwom-server.csv,0.42
ivatamasks.csv,0.42
playerstage.csv,0.41
taverna.csv,0.59
rtb-team.csv,0.67
projectts.csv,0.53
autofac.csv,0.65
nsis.csv,0.57
knowledge.csv,0.4
esmf.csv,0.63
abbot.csv,0.34
konversation.csv,0.49
arsenal-1.csv,0.3
utgb.csv,0.67
taokgame.csv,0.39
openmeetings.csv,0.65
nosleepsoftware.csv,0.44
jsidplay2.csv,0.52
chipster.csv,0.67
badtrinitycore.csv,0.59
redshell.csv,0.53
zengine.csv,0.74
javagroups.csv,0.48
hazelcast.csv,0.89
xuggle.csv,0.59
moviesandbox.csv,0.44
jrefactory.csv,0.38
alembik.csv,0.89
mule.csv,0.53
aubit4gl.csv,0.32
sepgsql.csv,0.34
sblim.csv,0.55
pentahoanalysistool.csv,0.5
rezilla.csv,0.8
pcgen.csv,0.4
dvd-create.csv,0.76
freenet.csv,0.42
ivef-sdk.csv,0.78
adonthell.csv,0.61
algebsql.csv,0.67
