,precision
inkscape.csv,0.6
wxcrp.csv,0.47
m-m-m.csv,0.86
bacula.csv,0.71
extprosys.csv,0.32
lsb.csv,0.32
fritzing.csv,0.69
robocode.csv,0.62
capcode.csv,0.19
openefm.csv,0.46
etics.csv,0.47
novembre.csv,0.4
lmms.csv,0.79
codeblocks.csv,0.89
ontomorphtab.csv,0.86
x-ray-mule.csv,0.37
openintents.csv,0.4
atomsite.csv,0.43
bloodycore.csv,0.21
checker-framework.csv,0.5
arianne.csv,0.67
dsworkbench.csv,0.87
gogoego.csv,0.33
electric-core.csv,0.46
atlc.csv,1.0
rosegarden.csv,0.59
linuxsh.csv,0.24
theresa.csv,0.1
jcae.csv,0.19
dxengine.csv,0.54
uwom-server.csv,0.32
ivatamasks.csv,0.72
playerstage.csv,0.53
taverna.csv,0.24
rtb-team.csv,0.33
projectts.csv,0.67
autofac.csv,0.5
nsis.csv,0.9
knowledge.csv,0.98
esmf.csv,0.4
abbot.csv,0.77
konversation.csv,0.26
arsenal-1.csv,0.5
utgb.csv,0.67
taokgame.csv,0.13
openmeetings.csv,0.47
nosleepsoftware.csv,0.22
jsidplay2.csv,0.91
chipster.csv,0.44
badtrinitycore.csv,0.21
redshell.csv,0.95
zengine.csv,0.78
javagroups.csv,0.48
hazelcast.csv,1.0
xuggle.csv,0.23
moviesandbox.csv,0.68
jrefactory.csv,0.6
alembik.csv,0.67
mule.csv,0.69
aubit4gl.csv,0.55
sepgsql.csv,0.06
sblim.csv,0.18
pentahoanalysistool.csv,0.44
rezilla.csv,0.6
pcgen.csv,0.62
dvd-create.csv,0.94
freenet.csv,0.82
ivef-sdk.csv,0.92
adonthell.csv,0.64
algebsql.csv,0.44
