,g-score
inkscape.csv,0.5
wxcrp.csv,0.66
m-m-m.csv,0.28
bacula.csv,0.62
extprosys.csv,0.48
lsb.csv,0.24
fritzing.csv,0.66
robocode.csv,0.26
capcode.csv,0.67
openefm.csv,0.51
etics.csv,0.65
novembre.csv,0.56
lmms.csv,0.52
codeblocks.csv,0.32
ontomorphtab.csv,0.39
x-ray-mule.csv,0.25
openintents.csv,0.54
atomsite.csv,0.17
bloodycore.csv,0.43
checker-framework.csv,0.72
arianne.csv,0.42
dsworkbench.csv,0.45
gogoego.csv,0.56
electric-core.csv,0.6
atlc.csv,0.37
rosegarden.csv,0.67
linuxsh.csv,0.57
theresa.csv,0.81
jcae.csv,0.84
dxengine.csv,0.59
uwom-server.csv,0.51
ivatamasks.csv,0.62
playerstage.csv,0.68
taverna.csv,0.18
rtb-team.csv,0.44
projectts.csv,0.31
autofac.csv,0.38
nsis.csv,0.26
knowledge.csv,0.75
esmf.csv,0.47
abbot.csv,0.6
konversation.csv,0.74
arsenal-1.csv,0.58
utgb.csv,0.33
taokgame.csv,0.64
openmeetings.csv,0.75
nosleepsoftware.csv,0.41
jsidplay2.csv,0.41
chipster.csv,0.28
badtrinitycore.csv,0.47
redshell.csv,0.46
zengine.csv,0.54
javagroups.csv,0.56
hazelcast.csv,0.19
xuggle.csv,0.7
moviesandbox.csv,0.43
jrefactory.csv,0.57
alembik.csv,0.31
mule.csv,0.43
aubit4gl.csv,0.55
sepgsql.csv,0.62
sblim.csv,0.43
pentahoanalysistool.csv,0.6
rezilla.csv,0.19
pcgen.csv,0.66
dvd-create.csv,0.26
freenet.csv,0.53
ivef-sdk.csv,0.54
adonthell.csv,0.34
algebsql.csv,0.14
