,recall
inkscape.csv,0.49
wxcrp.csv,0.65
m-m-m.csv,0.24
bacula.csv,0.86
extprosys.csv,0.45
lsb.csv,0.2
fritzing.csv,0.65
robocode.csv,0.22
capcode.csv,0.75
openefm.csv,0.48
etics.csv,0.62
novembre.csv,0.53
lmms.csv,0.48
codeblocks.csv,0.28
ontomorphtab.csv,0.34
x-ray-mule.csv,0.23
openintents.csv,0.61
atomsite.csv,0.14
bloodycore.csv,0.39
checker-framework.csv,0.69
arianne.csv,0.37
dsworkbench.csv,0.4
gogoego.csv,0.55
electric-core.csv,0.56
atlc.csv,0.32
rosegarden.csv,0.64
linuxsh.csv,0.55
theresa.csv,1.0
jcae.csv,1.0
dxengine.csv,0.56
uwom-server.csv,0.48
ivatamasks.csv,0.89
playerstage.csv,0.72
taverna.csv,0.15
rtb-team.csv,0.4
projectts.csv,0.27
autofac.csv,0.34
nsis.csv,0.22
knowledge.csv,0.74
esmf.csv,0.42
abbot.csv,0.61
konversation.csv,0.75
arsenal-1.csv,0.85
utgb.csv,0.29
taokgame.csv,0.8
openmeetings.csv,0.73
nosleepsoftware.csv,0.38
jsidplay2.csv,0.36
chipster.csv,0.24
badtrinitycore.csv,0.43
redshell.csv,0.49
zengine.csv,0.55
javagroups.csv,0.53
hazelcast.csv,0.16
xuggle.csv,0.7
moviesandbox.csv,0.39
jrefactory.csv,0.61
alembik.csv,0.27
mule.csv,0.39
aubit4gl.csv,0.57
sepgsql.csv,0.89
sblim.csv,0.41
pentahoanalysistool.csv,0.59
rezilla.csv,0.16
pcgen.csv,0.65
dvd-create.csv,0.22
freenet.csv,0.49
ivef-sdk.csv,0.49
adonthell.csv,0.3
algebsql.csv,0.12
