,zscreen.csv,popeye-chess.csv,ossbuild.csv,quarkplayer.csv,turbotrader-bos.csv,omseek.csv,kml.csv,virtuoso.csv,gdis.csv,biodwh.csv,genoviz.csv
biodwh.csv,0.9,0.78,0.78,0.64,0.94,0.98,0.5,0.44,0.67,0.92,0.83
gdis.csv,0.42,0.59,0.41,0.42,0.43,0.43,0.36,0.41,0.35,0.37,0.34
genoviz.csv,0.0,0.0,0.75,0.0,0.93,0.0,0.0,0.0,0.0,0.5,0.8
kml.csv,0.64,0.8,0.65,0.64,0.41,0.56,0.46,0.84,0.5,0.41,0.43
omseek.csv,0.86,0.0,0.51,0.96,0.99,0.97,0.46,0.97,0.47,0.94,0.65
ossbuild.csv,0.71,0.54,0.97,0.69,0.64,0.74,0.92,0.95,0.77,0.72,0.52
popeye-chess.csv,0.5,0.58,0.39,0.51,0.37,0.44,0.35,0.37,0.33,0.33,0.3
quarkplayer.csv,0.93,0.8,0.5,0.88,0.91,0.97,0.88,0.66,0.88,0.0,0.88
turbotrader-bos.csv,0.59,0.62,0.96,0.72,0.6,0.8,0.89,0.82,0.69,0.88,0.75
virtuoso.csv,0.49,0.64,0.44,0.65,0.59,0.46,0.86,0.79,0.47,0.41,0.38
zscreen.csv,0.49,0.6,0.99,0.59,0.53,0.69,0.92,0.44,0.57,0.55,0.37
