,sauerbraten.csv,brlcad.csv,linuxsh.csv,konversation.csv,gnupdate.csv,ogre.csv,bdbbasic.csv,qse.csv,turbotrader-bos.csv,projecteqemu.csv,modplug.csv,openfrag.csv,xapian.csv,google-gears.csv,linux-ntfs.csv,sandiaportals.csv,nativeclient.csv,genoviz.csv
bdbbasic.csv,0.64,0.21,0.21,0.77,0.18,0.21,0.8,0.62,0.45,0.62,0.6,0.56,0.53,0.51,0.47,0.72,0.26,0.54
brlcad.csv,0.17,0.7,0.73,0.2,0.6,0.11,0.72,0.41,0.25,0.26,0.13,0.2,0.15,0.2,0.27,0.6,0.09,0.44
genoviz.csv,0.21,0.06,0.0,0.2,0.0,0.02,0.3,0.07,0.34,0.36,0.24,0.11,0.15,0.02,0.18,0.0,0.15,0.98
gnupdate.csv,0.39,0.7,0.48,0.78,0.81,0.41,0.63,0.59,0.62,0.53,0.41,0.51,0.31,0.66,0.59,0.61,0.36,0.48
google-gears.csv,0.35,0.59,0.31,0.38,0.54,0.61,0.34,0.42,0.05,0.39,0.58,0.24,0.27,0.68,0.49,0.24,0.09,0.39
konversation.csv,0.75,0.36,0.49,0.76,0.77,0.46,0.57,0.73,0.6,0.45,0.45,0.58,0.42,0.62,0.54,0.61,0.34,0.39
linux-ntfs.csv,0.58,0.43,0.21,0.2,0.06,0.0,0.55,0.35,0.47,0.54,0.3,0.38,0.45,0.45,0.68,0.45,0.52,0.52
linuxsh.csv,0.53,0.43,0.66,0.1,0.39,0.04,0.41,0.33,0.36,0.29,0.16,0.2,0.15,0.13,0.1,0.41,0.05,0.24
modplug.csv,0.3,0.4,0.09,0.6,0.13,0.0,0.4,0.17,0.67,0.51,0.81,0.53,0.63,0.53,0.34,0.72,0.61,0.33
nativeclient.csv,0.52,0.63,0.61,0.75,0.75,0.37,0.77,0.73,0.73,0.61,0.61,0.67,0.59,0.65,0.7,0.68,0.65,0.69
ogre.csv,0.1,0.39,0.3,0.39,0.34,0.95,0.54,0.43,0.52,0.35,0.52,0.37,0.52,0.43,0.73,0.47,0.47,0.42
openfrag.csv,0.41,0.56,0.69,0.65,0.75,0.0,0.41,0.65,0.67,0.75,0.67,0.74,0.62,0.5,0.13,0.79,0.46,0.35
projecteqemu.csv,0.76,0.55,0.76,0.62,0.51,0.1,0.6,0.77,0.72,0.75,0.54,0.21,0.4,0.29,0.58,0.35,0.5,0.56
qse.csv,0.71,0.12,0.11,0.67,0.35,0.16,0.25,0.82,0.51,0.67,0.55,0.43,0.46,0.48,0.43,0.29,0.15,0.57
sandiaportals.csv,0.17,0.53,0.38,0.72,0.67,0.15,0.65,0.71,0.71,0.8,0.58,0.68,0.54,0.54,0.32,0.82,0.53,0.38
sauerbraten.csv,0.78,0.09,0.0,0.09,0.0,0.0,0.0,0.0,0.64,0.09,0.41,0.09,0.21,0.3,0.0,0.0,0.05,0.17
turbotrader-bos.csv,0.76,0.33,0.41,0.62,0.4,0.09,0.62,0.78,0.71,0.69,0.48,0.43,0.55,0.25,0.53,0.6,0.19,0.55
xapian.csv,0.47,0.46,0.53,0.67,0.6,0.0,0.65,0.7,0.56,0.7,0.73,0.64,0.74,0.52,0.54,0.48,0.56,0.44
