,x4x.csv,xharbour.csv,rectracker.csv,barracudamvc.csv,megasquirtavr.csv,openintents.csv,atomsite.csv,arsenal-1.csv,alembik.csv,emisview.csv,trackit.csv,jitterbit.csv,wxlua.csv,ontopia.csv,lite.csv,findbugs.csv,stajistics.csv,jfreechart.csv
alembik.csv,0.14,0.58,0.51,0.32,0.24,0.34,0.58,0.0,0.79,0.35,0.2,0.46,0.19,0.14,0.66,0.4,0.63,0.0
arsenal-1.csv,0.22,0.28,0.19,0.19,0.06,0.11,0.06,0.7,0.0,0.11,0.0,0.12,0.09,0.06,0.0,0.0,0.0,0.98
atomsite.csv,0.0,0.69,0.64,0.21,0.0,0.33,0.67,0.13,0.42,0.71,0.4,0.33,0.28,0.52,0.21,0.49,0.49,0.0
barracudamvc.csv,0.58,0.2,0.0,0.71,0.48,0.52,0.09,0.13,0.0,0.09,0.0,0.17,0.0,0.68,0.27,0.17,0.17,0.13
emisview.csv,0.24,0.0,0.17,0.24,0.06,0.16,0.41,0.3,0.73,0.7,0.18,0.5,0.0,0.1,0.6,0.29,0.48,0.0
findbugs.csv,0.0,0.72,0.54,0.42,0.2,0.5,0.4,0.3,0.72,0.49,0.47,0.73,0.24,0.45,0.56,0.6,0.45,0.72
jitterbit.csv,0.0,0.69,0.56,0.52,0.48,0.57,0.71,0.0,0.71,0.58,0.38,0.68,0.27,0.35,0.49,0.62,0.64,0.0
lite.csv,0.51,0.0,0.09,0.45,0.18,0.37,0.11,0.51,0.11,0.35,0.06,0.21,0.09,0.38,0.71,0.25,0.38,0.0
megasquirtavr.csv,0.3,0.0,0.34,0.44,0.63,0.0,0.39,0.0,0.32,0.17,0.66,0.57,0.22,0.0,0.35,0.56,0.4,0.0
ontopia.csv,0.55,0.35,0.6,0.19,0.44,0.47,0.53,0.44,0.52,0.6,0.43,0.27,0.0,0.8,0.55,0.46,0.27,0.66
openintents.csv,0.62,0.4,0.17,0.53,0.12,0.68,0.32,0.0,0.71,0.17,0.2,0.45,0.38,0.41,0.62,0.36,0.63,0.0
rectracker.csv,0.66,0.0,0.83,0.57,0.34,0.47,0.0,0.47,0.24,0.52,0.17,0.45,0.61,0.0,0.74,0.27,0.05,0.65
stajistics.csv,0.64,0.21,0.44,0.51,0.0,0.56,0.09,0.63,0.6,0.66,0.36,0.46,0.0,0.41,0.66,0.49,0.63,0.0
trackit.csv,0.06,0.01,0.0,0.04,0.23,0.26,0.34,0.13,0.17,0.37,0.6,0.24,0.52,0.41,0.4,0.33,0.12,0.0
wxlua.csv,0.3,0.35,0.57,0.35,0.45,0.25,0.36,0.3,0.66,0.2,0.46,0.51,0.74,0.46,0.09,0.36,0.23,0.84
x4x.csv,0.74,0.0,0.35,0.55,0.64,0.39,0.45,0.56,0.44,0.49,0.53,0.57,0.36,0.26,0.55,0.55,0.44,0.0
xharbour.csv,0.0,0.8,0.63,0.0,0.7,0.48,0.68,0.0,0.69,0.61,0.63,0.64,0.58,0.55,0.6,0.54,0.62,0.09
