,x4x.csv,xharbour.csv,rectracker.csv,barracudamvc.csv,megasquirtavr.csv,openintents.csv,atomsite.csv,arsenal-1.csv,alembik.csv,emisview.csv,trackit.csv,jitterbit.csv,wxlua.csv,ontopia.csv,lite.csv,findbugs.csv,stajistics.csv,jfreechart.csv
alembik.csv,0.25,0.26,0.15,0.15,0.03,0.27,0.26,0.0,0.32,0.06,0.13,0.04,0.12,0.21,0.37,0.29,0.2,0.19
arsenal-1.csv,0.25,0.42,0.11,0.95,0.04,0.12,0.07,0.32,0.03,0.04,0.0,0.06,0.0,0.14,0.0,0.04,0.01,0.08
atomsite.csv,1.0,0.47,0.7,0.95,1.0,0.91,0.35,0.97,0.87,0.49,0.87,0.91,0.25,0.64,0.95,0.56,0.83,0.43
barracudamvc.csv,0.75,0.95,1.0,0.25,0.73,0.79,0.98,0.97,1.0,0.98,1.0,0.96,1.0,0.64,0.93,0.96,0.96,0.97
emisview.csv,0.33,0.0,0.04,0.1,0.0,0.06,0.17,0.1,0.39,0.28,0.04,0.19,0.0,0.14,0.41,0.22,0.16,0.2
findbugs.csv,1.0,0.42,0.22,0.85,0.95,0.67,0.33,0.13,0.42,0.49,0.61,0.44,0.12,0.57,0.66,0.24,0.81,0.66
jitterbit.csv,1.0,0.68,0.52,0.7,0.3,0.42,0.54,1.0,0.45,0.53,0.22,0.21,0.25,0.57,0.83,0.58,0.67,1.0
lite.csv,0.42,0.0,0.0,0.6,0.0,0.48,0.04,0.32,0.06,0.11,0.13,0.06,0.0,0.57,0.34,0.2,0.07,0.04
megasquirtavr.csv,0.92,1.0,0.89,0.8,0.21,1.0,0.37,1.0,0.68,0.96,0.57,0.41,0.0,1.0,0.54,0.49,0.62,0.8
ontopia.csv,0.25,0.89,0.52,0.2,0.58,0.82,0.76,0.35,0.58,0.62,0.83,0.35,1.0,0.29,0.76,0.64,0.17,0.72
openintents.csv,0.58,0.74,0.96,0.3,0.0,0.39,0.91,1.0,0.65,0.96,0.17,0.46,0.88,0.5,0.68,0.89,0.19,1.0
rectracker.csv,0.67,1.0,0.19,0.55,0.33,0.82,1.0,0.55,0.94,0.79,0.96,0.81,0.75,1.0,0.54,0.93,0.99,0.73
stajistics.csv,0.5,0.95,0.81,0.4,0.01,0.21,0.98,0.39,0.77,0.68,0.26,0.59,1.0,0.79,0.51,0.82,0.35,1.0
trackit.csv,0.25,0.21,0.0,0.0,0.44,0.18,0.52,0.23,0.35,0.51,0.43,0.34,0.5,0.07,0.59,0.18,0.17,0.0
wxlua.csv,0.25,0.89,0.26,0.35,0.77,0.3,0.89,0.23,0.52,0.28,0.52,0.37,0.5,0.36,0.05,0.18,0.23,0.49
x4x.csv,0.33,1.0,0.37,0.75,0.51,0.88,0.67,0.55,0.84,0.75,0.74,0.68,0.38,0.93,0.68,0.64,0.54,0.78
xharbour.csv,1.0,0.05,0.59,1.0,0.66,0.82,0.54,1.0,0.65,0.64,0.7,0.6,0.5,0.43,0.73,0.8,0.71,0.98
