,x4x.csv,xharbour.csv,rectracker.csv,barracudamvc.csv,megasquirtavr.csv,openintents.csv,atomsite.csv,arsenal-1.csv,alembik.csv,emisview.csv,trackit.csv,jitterbit.csv,wxlua.csv,ontopia.csv,lite.csv,findbugs.csv,stajistics.csv,jfreechart.csv
alembik.csv,0.0,0.0,0.0,0.0,1.0,0.0,0.0,57.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,103.0
arsenal-1.csv,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,52.0,1.0,63.0,0.0,0.0,1.0,55.0,72.0,98.0,7.0
atomsite.csv,0.0,0.0,1.0,0.0,18.0,1.0,2.0,2.0,3.0,0.0,2.0,5.0,0.0,0.0,8.0,0.0,11.0,103.0
barracudamvc.csv,0.0,0.0,0.0,0.0,18.0,1.0,0.0,2.0,6.0,10.0,2.0,5.0,0.0,0.0,6.0,0.0,10.0,90.0
emisview.csv,0.0,105.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,5.0,0.0,0.0,95.0,0.0,1.0,1.0,2.0,103.0
findbugs.csv,0.0,0.0,2.0,0.0,16.0,0.0,4.0,0.0,3.0,3.0,1.0,3.0,0.0,0.0,6.0,0.0,11.0,57.0
jitterbit.csv,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,1.0,4.0,0.0,2.0,1.0,0.0,6.0,0.0,16.0,92.0
lite.csv,0.0,105.0,0.0,0.0,0.0,7.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,103.0
megasquirtavr.csv,0.0,0.0,0.0,0.0,4.0,1.0,0.0,2.0,6.0,10.0,1.0,2.0,0.0,0.0,7.0,1.0,7.0,103.0
ontopia.csv,0.0,0.0,0.0,0.0,22.0,1.0,0.0,2.0,5.0,5.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,69.0
openintents.csv,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,10.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,92.0
rectracker.csv,0.0,0.0,0.0,0.0,15.0,5.0,0.0,3.0,6.0,15.0,2.0,2.0,0.0,0.0,2.0,0.0,10.0,64.0
stajistics.csv,0.0,0.0,0.0,0.0,92.0,0.0,7.0,1.0,2.0,7.0,0.0,4.0,0.0,0.0,3.0,0.0,1.0,92.0
trackit.csv,1.0,4.0,82.0,0.0,23.0,4.0,0.0,2.0,10.0,14.0,0.0,0.0,0.0,0.0,2.0,0.0,9.0,103.0
wxlua.csv,0.0,0.0,0.0,0.0,17.0,1.0,0.0,2.0,5.0,8.0,2.0,4.0,0.0,0.0,1.0,0.0,8.0,48.0
x4x.csv,0.0,0.0,0.0,0.0,9.0,1.0,0.0,2.0,4.0,7.0,2.0,4.0,0.0,0.0,6.0,0.0,7.0,103.0
xharbour.csv,0.0,0.0,0.0,0.0,12.0,0.0,3.0,2.0,2.0,10.0,2.0,2.0,0.0,1.0,3.0,0.0,7.0,90.0
