,jedit.csv,jahshaka.csv,open-media-library.csv,benojt.csv,jatlas.csv,jam-daq.csv
benojt.csv,0.33,0.42,0.33,0.35,0.38,0.35
jahshaka.csv,0.51,0.53,0.51,0.69,0.53,0.43
jam-daq.csv,0.49,0.75,0.65,0.37,0.77,0.43
jatlas.csv,0.34,0.63,0.36,0.38,0.64,0.42
jedit.csv,0.42,0.43,0.36,0.36,0.41,0.36
open-media-library.csv,0.38,0.9,0.47,0.41,0.54,0.44
