,rhex.csv,qgo.csv,firebird.csv,applet2app.csv,yield.csv,cities3d.csv,hydrogen.csv,xined.csv,lphant.csv,open-ms.csv,autowikibrowser.csv,rocrail.csv,quickfast.csv
applet2app.csv,0.33,0.47,0.31,0.63,0.62,0.65,0.81,0.8,0.77,0.61,0.64,0.59,0.62
autowikibrowser.csv,0.67,0.57,0.59,0.72,0.63,0.7,0.56,0.6,0.64,0.63,0.73,0.91,0.81
cities3d.csv,0.0,0.77,0.14,0.55,0.06,0.62,0.19,0.0,0.23,0.76,0.36,0.73,0.0
firebird.csv,0.42,0.67,0.54,0.66,0.41,0.78,0.56,1.0,0.77,0.46,0.75,0.68,0.79
hydrogen.csv,1.0,1.0,1.0,1.0,1.0,1.0,0.81,0.0,1.0,1.0,1.0,1.0,0.85
lphant.csv,0.92,0.7,0.64,0.58,0.9,0.7,0.88,0.4,0.68,0.73,0.89,0.95,0.57
open-ms.csv,0.67,0.9,0.78,0.62,0.25,0.84,0.75,0.8,0.45,0.63,0.8,0.86,0.47
qgo.csv,1.0,0.97,0.91,0.74,0.73,0.95,0.81,0.8,1.0,0.96,0.98,1.0,0.96
quickfast.csv,0.92,0.77,0.9,0.65,0.51,0.86,0.75,0.5,1.0,0.99,0.91,0.91,0.79
rhex.csv,0.75,0.73,0.15,0.51,0.19,0.49,0.44,0.2,0.05,0.38,0.32,0.36,0.57
rocrail.csv,0.58,0.63,0.47,0.84,0.75,0.73,0.75,0.5,0.82,0.67,0.75,0.86,0.51
xined.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
yield.csv,0.75,0.87,0.9,0.92,0.73,1.0,1.0,1.0,0.95,0.97,0.77,0.95,0.87
