,rhex.csv,qgo.csv,firebird.csv,applet2app.csv,yield.csv,cities3d.csv,hydrogen.csv,xined.csv,lphant.csv,open-ms.csv,autowikibrowser.csv,rocrail.csv,quickfast.csv
applet2app.csv,0.12,0.15,0.15,0.22,0.17,0.17,0.15,0.21,0.22,0.21,0.21,0.14,0.18
autowikibrowser.csv,0.16,0.15,0.17,0.21,0.17,0.2,0.11,0.15,0.15,0.17,0.18,0.16,0.18
cities3d.csv,0.4,0.26,0.31,0.29,0.37,0.2,0.15,0.4,0.24,0.28,0.15,0.29,0.38
firebird.csv,0.17,0.25,0.19,0.24,0.14,0.21,0.17,0.32,0.27,0.2,0.26,0.19,0.33
hydrogen.csv,0.3,0.37,0.39,0.42,0.44,0.33,0.14,0.34,0.35,0.39,0.38,0.42,0.24
lphant.csv,0.29,0.2,0.28,0.2,0.35,0.2,0.39,0.13,0.16,0.25,0.24,0.19,0.16
open-ms.csv,0.2,0.23,0.25,0.24,0.11,0.23,0.14,0.23,0.15,0.24,0.23,0.22,0.16
qgo.csv,0.35,0.22,0.33,0.22,0.26,0.29,0.24,0.3,0.35,0.33,0.31,0.29,0.28
quickfast.csv,0.37,0.26,0.35,0.23,0.27,0.31,0.28,0.26,0.33,0.37,0.35,0.31,0.2
rhex.csv,0.18,0.26,0.19,0.32,0.15,0.21,0.12,0.15,0.33,0.2,0.28,0.16,0.24
rocrail.csv,0.16,0.18,0.17,0.35,0.27,0.31,0.17,0.17,0.27,0.27,0.23,0.15,0.22
xined.csv,0.4,0.37,0.39,0.42,0.44,0.34,0.51,0.25,0.35,0.39,0.38,0.42,0.38
yield.csv,0.34,0.25,0.31,0.39,0.21,0.34,0.5,0.38,0.27,0.37,0.24,0.36,0.33
