,rhex.csv,qgo.csv,firebird.csv,applet2app.csv,yield.csv,cities3d.csv,hydrogen.csv,xined.csv,lphant.csv,open-ms.csv,autowikibrowser.csv,rocrail.csv,quickfast.csv
applet2app.csv,0.68,0.53,0.69,0.51,0.39,0.43,0.27,0.57,0.56,0.51,0.48,0.44,0.46
autowikibrowser.csv,0.49,0.52,0.57,0.58,0.43,0.61,0.48,0.58,0.41,0.54,0.4,0.41,0.31
cities3d.csv,1.0,0.67,0.86,0.69,0.94,0.47,0.82,1.0,0.78,0.62,0.64,0.55,1.0
firebird.csv,0.63,0.46,0.54,0.51,0.59,0.54,0.5,0.84,0.79,0.61,0.61,0.5,0.81
hydrogen.csv,0.68,1.0,1.0,1.0,1.0,0.99,0.26,1.0,1.0,1.0,1.0,1.0,0.64
lphant.csv,0.64,0.52,0.67,0.58,0.77,0.44,0.62,0.64,0.38,0.66,0.53,0.46,0.49
open-ms.csv,0.49,0.5,0.69,0.63,0.75,0.69,0.32,0.57,0.57,0.58,0.52,0.6,0.62
qgo.csv,0.91,0.15,0.92,0.54,0.59,0.92,0.55,0.91,0.97,0.83,0.85,0.78,0.69
quickfast.csv,0.89,0.62,0.89,0.58,0.68,0.82,0.58,0.72,0.91,0.93,0.88,0.69,0.33
rhex.csv,0.39,0.71,0.87,0.74,0.82,0.6,0.58,0.84,0.96,0.7,0.79,0.71,0.68
rocrail.csv,0.51,0.43,0.6,0.8,0.55,0.68,0.36,0.61,0.63,0.65,0.45,0.32,0.62
xined.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.42,1.0,1.0,1.0,1.0,1.0
yield.csv,0.88,0.53,0.75,0.89,0.29,1.0,0.97,0.98,0.76,0.92,0.67,0.9,0.64
