,ktc.csv,neoengine.csv,mbse.csv,openmalaria.csv,xemeiah.csv,rtrt-on-gpu.csv,enzo.csv,salasaga.csv,nebuladevice.csv,gstreamer.csv,skia.csv
enzo.csv,0.35,0.4,0.68,0.51,0.46,0.09,0.83,0.64,0.3,0.65,0.59
gstreamer.csv,0.66,0.68,0.66,0.63,0.6,0.42,0.61,0.71,0.72,0.69,0.62
ktc.csv,0.75,0.66,0.65,0.64,0.26,0.35,0.39,0.59,0.43,0.58,0.43
mbse.csv,0.64,0.57,0.69,0.5,0.4,0.52,0.49,0.69,0.66,0.45,0.47
nebuladevice.csv,0.44,0.4,0.0,0.56,0.4,0.2,0.18,0.24,0.69,0.04,0.2
neoengine.csv,0.55,0.68,0.13,0.64,0.16,0.47,0.4,0.51,0.66,0.51,0.62
openmalaria.csv,0.57,0.7,0.66,0.77,0.66,0.57,0.52,0.54,0.64,0.63,0.63
rtrt-on-gpu.csv,0.61,0.57,0.13,0.58,0.53,0.64,0.44,0.17,0.55,0.54,0.73
salasaga.csv,0.48,0.49,0.51,0.38,0.74,0.44,0.26,0.71,0.31,0.63,0.51
skia.csv,0.67,0.61,0.73,0.67,0.39,0.55,0.59,0.66,0.59,0.48,0.7
xemeiah.csv,0.64,0.63,0.52,0.25,0.77,0.79,0.43,0.73,0.37,0.57,0.61
