,ktc.csv,neoengine.csv,mbse.csv,openmalaria.csv,xemeiah.csv,rtrt-on-gpu.csv,enzo.csv,salasaga.csv,nebuladevice.csv,gstreamer.csv,skia.csv
enzo.csv,0.42,0.39,0.31,0.49,0.44,0.18,0.94,0.18,0.19,0.64,0.39
gstreamer.csv,0.47,0.45,0.3,0.51,0.5,0.14,0.92,0.21,0.24,0.78,0.42
ktc.csv,0.69,0.65,0.47,0.68,0.71,0.33,0.97,0.25,0.18,0.85,0.41
mbse.csv,0.47,0.53,0.44,0.47,0.42,0.23,0.92,0.2,0.23,0.73,0.43
nebuladevice.csv,0.38,0.37,0.0,0.47,0.44,0.05,0.94,0.08,0.42,0.62,0.33
neoengine.csv,0.63,0.58,0.25,0.54,0.6,0.14,0.88,0.18,0.23,0.6,0.38
openmalaria.csv,0.45,0.54,0.42,0.78,0.57,0.19,0.96,0.3,0.21,0.75,0.38
rtrt-on-gpu.csv,0.43,0.4,0.25,0.47,0.55,0.43,0.79,0.15,0.18,0.6,0.47
salasaga.csv,0.53,0.53,0.33,0.88,0.58,0.25,0.62,0.29,0.19,0.66,0.31
skia.csv,0.63,0.52,0.35,0.75,0.74,0.56,0.95,0.23,0.21,0.66,0.55
xemeiah.csv,0.6,0.42,0.27,0.69,0.7,0.28,0.74,0.22,0.21,0.59,0.36
