,ktc.csv,neoengine.csv,mbse.csv,openmalaria.csv,xemeiah.csv,rtrt-on-gpu.csv,enzo.csv,salasaga.csv,nebuladevice.csv,gstreamer.csv,skia.csv
enzo.csv,0.96,0.95,0.85,0.95,0.76,1.0,0.85,0.82,1.0,0.85,1.0
gstreamer.csv,0.79,0.82,0.83,0.9,0.81,0.4,0.58,0.82,0.87,0.68,0.65
ktc.csv,0.74,0.63,0.63,0.62,0.22,0.3,0.34,0.57,0.4,0.53,0.39
mbse.csv,0.73,0.54,0.68,0.88,0.37,0.5,0.44,0.82,0.73,0.41,0.43
nebuladevice.csv,0.42,0.37,0.0,0.6,0.37,0.2,0.15,0.21,0.67,0.03,0.17
neoengine.csv,0.51,0.68,1.0,0.69,0.13,0.5,0.36,1.0,0.73,0.88,0.7
openmalaria.csv,0.96,0.71,0.65,0.76,0.7,0.6,0.47,0.5,0.8,0.61,0.78
rtrt-on-gpu.csv,0.74,0.79,1.0,0.74,0.51,0.6,0.79,0.96,0.8,0.85,0.78
salasaga.csv,0.44,0.45,0.48,0.33,0.88,0.4,0.24,0.71,0.27,0.66,0.57
skia.csv,0.66,0.6,0.85,0.64,0.34,0.5,0.54,0.68,0.6,0.45,0.7
xemeiah.csv,0.62,0.83,0.92,0.21,0.78,0.9,0.49,0.86,0.33,0.77,0.74
