,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,ontopia.csv,irplus.csv,lite.csv,mevenide.csv,tweetsharp.csv,ta3d.csv
alembik.csv,0.15,0.15,0.0,0.29,0.21,0.05,0.29,0.02,0.13,0.12
arsenal-1.csv,0.95,0.18,0.32,0.03,0.21,0.07,0.07,0.39,0.07,0.0
barracudamvc.csv,0.25,0.73,1.0,1.0,0.79,0.95,0.93,0.83,0.87,1.0
irplus.csv,0.55,0.76,0.0,0.42,0.64,0.27,0.44,0.23,0.6,0.44
lite.csv,0.65,0.36,0.29,0.1,0.71,0.27,0.22,0.24,0.33,0.31
mevenide.csv,0.65,0.52,0.26,0.06,0.21,0.07,0.0,0.2,0.13,0.06
ontopia.csv,0.2,0.67,0.13,0.48,0.36,0.36,0.76,0.01,0.53,0.75
openintents.csv,0.05,0.36,0.42,0.32,0.29,0.61,0.34,0.34,0.2,0.31
ta3d.csv,0.7,0.12,0.94,0.03,0.5,0.09,0.2,0.2,0.07,0.56
tweetsharp.csv,0.25,0.27,0.84,0.77,0.07,0.5,0.8,0.43,0.33,0.5
