,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,ontopia.csv,irplus.csv,lite.csv,mevenide.csv,tweetsharp.csv,ta3d.csv
alembik.csv,0.8,0.93,1.0,0.37,0.92,0.88,0.55,0.9,0.84,0.78
arsenal-1.csv,0.99,0.85,0.44,0.96,0.97,0.88,0.87,0.54,0.91,0.97
barracudamvc.csv,0.35,0.74,1.0,1.0,0.79,0.95,0.93,0.93,0.87,1.01
irplus.csv,0.65,0.78,0.89,0.48,0.87,0.45,0.48,0.69,0.72,0.63
lite.csv,0.9,0.82,0.53,0.78,0.94,0.7,0.4,0.6,0.7,0.73
mevenide.csv,0.76,0.76,0.75,0.96,0.91,0.96,0.87,0.37,0.96,0.72
ontopia.csv,0.94,0.72,0.82,0.66,0.41,0.88,0.8,0.93,0.55,0.78
openintents.csv,0.78,0.5,0.76,0.84,0.89,0.66,0.53,0.77,0.9,0.68
ta3d.csv,0.92,0.83,0.94,0.96,0.85,0.73,0.82,0.72,0.93,0.67
tweetsharp.csv,0.7,0.67,0.85,0.81,0.64,0.75,0.83,0.84,0.41,0.7
