,jlinalg.csv,arcallians.csv,yale.csv,qmmp.csv
arcallians.csv,0.74,0.75,0.8,0.46
jlinalg.csv,0.82,0.82,0.78,0.73
qmmp.csv,0.74,0.82,0.64,0.65
yale.csv,0.34,0.39,0.5,0.54
